,Common Name,Type,Family,Native Range,Zone,Height,Spread,Bloom Time,Bloom Description,Sun,Water,Maintenance,Suggested Use,Flower,Tolerate,Invasive,Leaf,Attracts,Fruit,Other
Quercus macrocarpa, bur oak , Tree, Fagaceae," Northern and central United States, southeastern Canada", 3 to 8, 60.00 to 80.00 feet, 60.00 to 80.00 feet, April, Yellowish-green, Full sun, Dry to medium, Low," Shade Tree, Rain Garden", Insignificant," Drought, Clay Soil, Dry Soil",,,, Showy,
Quercus marilandica, blackjack oak , Tree, Fagaceae, Central and southeastern United States, 6 to 9, 20.00 to 40.00 feet, 20.00 to 40.00 feet, May,, Full sun, Dry to medium, Low,, Insignificant, Drought,,,, Showy,
Quercus michauxii, swamp chestnut oak , Tree, Fagaceae, Southeastern United States, 5 to 9, 40.00 to 60.00 feet, 30.00 to 50.00 feet, April to May, Yellow (male) red (female), Full sun, Medium to wet, Low,, Insignificant," Erosion, Wet Soil",, Good Fall,, Showy,
Quercus montana, chestnut oak , Tree, Fagaceae, Eastern United States, 4 to 8, 50.00 to 70.00 feet, 50.00 to 70.00 feet, April, Yellowish-green, Full sun, Dry to medium, Low," Shade Tree, Street Tree", Insignificant, Drought,,,, Showy,
Quercus muehlenbergii, chinkapin oak , Tree, Fagaceae, Eastern United States, 5 to 7, 40.00 to 60.00 feet, 50.00 to 70.00 feet, April, Yellowish-green, Full sun, Dry to medium, Low, Shade Tree, Insignificant, Drought,,,, Showy,
Quercus myrtifolia, myrtle oak , Broadleaf evergreen, Fagaceae, Southeastern United States, 8 to 10, 15.00 to 20.00 feet, 8.00 to 10.00 feet, April to May, Greenish, Full sun to part shade, Dry to medium, Low,, Insignificant," Drought, Dry Soil",, Evergreen,,, Winter Interest
Quercus nigra, water oak , Tree, Fagaceae, Southeastern United States, 6 to 9, 50.00 to 80.00 feet, 40.00 to 60.00 feet, April,, Full sun, Medium to wet, Medium," Shade Tree, Street Tree", Insignificant,,,,, Showy,
Quercus phellos, willow oak , Tree, Fagaceae, Southeastern United States, 5 to 9, 40.00 to 75.00 feet, 25.00 to 50.00 feet, April, Yellow-green, Full sun, Medium to wet, Low," Shade Tree, Street Tree, Rain Garden", Insignificant," Clay Soil, Wet Soil, Air Pollution",,,,,
Quercus rubra, red oak , Tree, Fagaceae, Eastern North America, 4 to 8, 50.00 to 75.00 feet, 50.00 to 75.00 feet, May, Yellowish-green, Full sun, Dry to medium, Low," Shade Tree, Street Tree", Insignificant," Drought, Dry Soil, Black Walnut, Air Pollution",, Good Fall,,,
Quercus shumardii, shumard oak , Tree, Fagaceae, Southeastern United States, 5 to 9, 40.00 to 60.00 feet, 30.00 to 40.00 feet, April, Greenish, Full sun, Dry to medium, Low," Shade Tree, Street Tree, Rain Garden", Insignificant," Drought, Dry Soil, Air Pollution",, Good Fall,,,
Quercus stellata, post oak , Tree, Fagaceae, Eastern United States, 5 to 9, 35.00 to 50.00 feet, 35.00 to 50.00 feet, April, Yellowish-green, Full sun, Dry to medium, Low, Shade Tree, Insignificant," Drought, Dry Soil, Shallow-Rocky Soil",, Good Fall,, Showy,
Quercus texana, Texas red oak , Tree, Fagaceae, Southern-central United States, 6 to 9, 50.00 to 80.00 feet, 40.00 to 65.00 feet, April, Yellowish-green, Full sun, Medium, Low," Shade Tree, Rain Garden", Insignificant," Clay Soil, Wet Soil",, Good Fall,,,
Quercus velutina, black oak , Tree, Fagaceae," Eastern United States, southeastern Canada", 3 to 9, 50.00 to 60.00 feet, 50.00 to 60.00 feet, April to May, Yellowish-green, Full sun, Dry to medium, Low," Shade Tree, Street Tree", Insignificant, Black Walnut,, Good Fall,, Showy,
Quercus virginiana, live oak , Broadleaf evergreen, Fagaceae," Southeastern United States, Mexico", 8 to 10, 40.00 to 80.00 feet, 60.00 to 100.00 feet, March to April, Yellowish-green, Full sun, Medium to wet, Low," Shade Tree, Rain Garden", Insignificant,,, Evergreen,, Showy, Winter Interest
Ratibida columnifera, Mexican hat plant , Herbaceous perennial, Asteraceae, North America, 4 to 9, 1.00 to 3.00 feet, 1.00 to 1.50 feet, June to September, Yellow rays and dark brown center disk, Full sun, Dry to medium, Medium,, Showy," Drought, Dry Soil",,, Butterflies,,
Ratibida pinnata, grey-head coneflower , Herbaceous perennial, Asteraceae, Central North America, 3 to 8, 3.00 to 5.00 feet, 1.50 to 2.00 feet, June to August, Yellow, Full sun, Medium, Medium,, Showy," Drought, Clay Soil",,, Butterflies,,
Rhododendron arborescens, sweet azalea , Deciduous shrub, Ericaceae, Eastern United States, 4 to 7, 8.00 to 20.00 feet, 8.00 to 20.00 feet, May to July, White, Part shade, Medium, Low, Hedge," Showy, Fragrant", Rabbit,,, Butterflies,,
Rhododendron austrinum, Florida azalea , Deciduous shrub, Ericaceae, Georgia and Florida, 6 to 9, 6.00 to 10.00 feet, 4.00 to 6.00 feet, April," Yellow, peach, orange-red", Part shade, Medium, Medium, Hedge," Showy, Fragrant", Rabbit,,," Hummingbirds, Butterflies",,
Rhododendron calendulaceum, flame azalea , Deciduous shrub, Ericaceae, Southeastern United States, 5 to 7, 4.00 to 8.00 feet, 8.00 to 10.00 feet, May to June, Yellow to orange to red, Part shade, Medium, Low, Hedge, Showy, Rabbit,,, Butterflies,,
Rhododendron canescens, Mountain azalea , Deciduous shrub, Ericaceae, Southeastern United States, 5 to 9, 6.00 to 15.00 feet, 6.00 to 12.00 feet, April, Pink (infrequently white), Part shade, Medium, Medium, Hedge," Showy, Fragrant", Rabbit,,," Hummingbirds, Butterflies",,
Rhododendron catawbiense, catawba rhododendron , Broadleaf evergreen, Ericaceae, Southeastern United States, 4 to 8, 6.00 to 10.00 feet, 8.00 to 12.00 feet, April to June, Lavender-pink, Part shade, Medium, Medium,, Showy,,, Evergreen,,, Winter Interest
Rhododendron maximum, rosebay rhododendron , Broadleaf evergreen, Ericaceae, Eastern North America, 3 to 7, 5.00 to 15.00 feet, 5.00 to 12.00 feet, June to July, Rose-purplish to pink to white, Part shade to full shade, Medium, Medium,, Showy," Rabbit, Heavy Shade",, Evergreen,,, Winter Interest
Rhododendron periclymenoides, pinxterbloom azalea , Deciduous shrub, Ericaceae, Eastern United States, 4 to 9, 3.00 to 6.00 feet, 4.00 to 7.00 feet, April to May, White or pink, Full sun to part shade, Medium, Low, Hedge," Showy, Fragrant", Rabbit,,," Hummingbirds, Butterflies",,
Rhododendron prinophyllum, roseshell azalea , Deciduous shrub, Ericaceae, Central and eastern United States, 3 to 8, 4.00 to 8.00 feet, 4.00 to 8.00 feet, April to May, Pink, Part shade, Medium, Medium,," Showy, Fragrant", Rabbit,,," Hummingbirds, Butterflies",,
Rhododendron viscosum, swamp azalea , Deciduous shrub, Ericaceae, Eastern and southern United States, 4 to 9, 3.00 to 5.00 feet, 3.00 to 5.00 feet, May to July, White to pale pink, Part shade, Medium to wet, Medium, Hedge," Showy, Fragrant, Good Cut"," Rabbit, Wet Soil",, Good Fall," Hummingbirds, Butterflies",,
Rhus aromatica, fragrant sumac , Deciduous shrub, Anacardiaceae, North America, 3 to 9, 2.00 to 6.00 feet, 6.00 to 10.00 feet, April, Yellow, Full sun to part shade, Dry to medium, Low,, Insignificant," Rabbit, Drought, Erosion, Clay Soil, Dry Soil, Shallow-Rocky Soil, Black Walnut",," Fragrant, Good Fall"," Birds, Butterflies", Showy,
Rhus copallinum, winged sumac , Deciduous shrub, Anacardiaceae, Eastern United States, 4 to 9, 7.00 to 15.00 feet, 10.00 to 20.00 feet, July to August, Greenish, Full sun to part shade, Dry to medium, Medium, Naturalize, Insignificant," Rabbit, Drought, Erosion, Dry Soil, Shallow-Rocky Soil, Black Walnut",, Good Fall, Birds,,
Rhus glabra, smooth sumac , Deciduous shrub, Anacardiaceae, Northeastern United States to southern Canada, 3 to 9, 9.00 to 15.00 feet, 9.00 to 15.00 feet, June, Yellowish-green, Full sun to part shade, Dry to medium, Medium,, Showy," Rabbit, Drought, Erosion, Dry Soil, Shallow-Rocky Soil, Black Walnut",, Good Fall," Birds, Butterflies", Showy, Winter Interest
Rhus typhina, staghorn sumac , Deciduous shrub, Anacardiaceae, Eastern North America, 3 to 8, 15.00 to 25.00 feet, 20.00 to 30.00 feet, June to July, Greenish-yellow, Full sun to part shade, Dry to medium, Medium, Naturalize, Showy," Rabbit, Drought, Erosion, Dry Soil, Shallow-Rocky Soil, Black Walnut",, Good Fall, Birds, Showy, Winter Interest
Robinia hispida, bristly locust , Deciduous shrub, Fabaceae, Central and eastern United States, 5 to 8, 2.00 to 10.00 feet, 5.00 to 15.00 feet, May, Rosy pink to purplish-red, Full sun, Dry to medium, Medium, Hedge, Showy," Deer, Drought, Erosion, Dry Soil, Shallow-Rocky Soil", Where is this species invasive in the US?,,, Showy,
Robinia pseudoacacia, black locust , Tree, Fabaceae, Eastern and central United States, 3 to 8, 30.00 to 50.00 feet, 20.00 to 35.00 feet, May to June, White, Full sun, Dry to medium, Medium," Flowering Tree, Naturalize"," Showy, Fragrant"," Deer, Drought, Clay Soil, Black Walnut, Air Pollution", Where is this species invasive in the US?,,, Showy,
Rosa carolina, Carolina rose , Deciduous shrub, Rosaceae, Eastern and central North America, 4 to 9, 3.00 to 6.00 feet, 5.00 to 10.00 feet, May, Pink, Full sun, Medium to wet, Medium, Hedge," Showy, Fragrant",,,," Birds, Butterflies", Showy, Thorns
Rosa palustris, swamp rose , Deciduous shrub, Rosaceae, Eastern North America, 4 to 9, 3.00 to 6.00 feet, 3.00 to 6.00 feet, June to July, Pink, Full sun, Wet, Medium," Naturalize, Rain Garden"," Showy, Fragrant", Wet Soil,, Good Fall," Birds, Butterflies", Showy, Thorns
Rosa setigera, prairie rose , Deciduous shrub, Rosaceae, Eastern and central North America, 5 to 8, 6.00 to 12.00 feet, 8.00 to 10.00 feet, June, Pink fading to whitish, Full sun to part shade, Medium to wet, Medium, Hedge," Showy, Fragrant, Good Cut",,, Good Fall, Butterflies, Showy, Thorns
Rubus odoratus, purple-flowering raspberry , Deciduous shrub, Rosaceae, Eastern North America, 3 to 8, 3.00 to 6.00 feet, 6.00 to 12.00 feet, June to August, Rose-Purple, Full sun to part shade, Medium, Low,," Showy, Fragrant", Black Walnut,,," Birds, Butterflies"," Showy, Edible",
Rudbeckia fulgida, orange coneflower , Herbaceous perennial, Asteraceae, Southeastern United States, 3 to 9, 2.00 to 3.00 feet, 2.00 to 2.50 feet, July to October, Orange / yellow, Full sun, Dry to medium, Low," Naturalize, Rain Garden"," Showy, Good Cut, Good Dried"," Deer, Drought, Clay Soil, Dry Soil, Shallow-Rocky Soil, Air Pollution",,," Birds, Butterflies",,
Rudbeckia hirta, black-eyed Susan , Herbaceous perennial, Asteraceae, Central United States, 3 to 7, 2.00 to 3.00 feet, 1.00 to 2.00 feet, June to September, Yellow to orange-yellow rays and dark brown centers, Full sun, Medium, Low," Annual, Naturalize", Showy," Deer, Drought, Clay Soil",,, Butterflies,,
Rudbeckia laciniata, cutleaf coneflower , Herbaceous perennial, Asteraceae, North America, 3 to 9, 2.00 to 9.00 feet, 1.50 to 3.00 feet, July to September, Yellow rays and green center disks, Full sun to part shade, Medium, Medium, Naturalize, Showy, Deer,,, Butterflies,,
Rudbeckia triloba, brown-eyed Susan , Herbaceous perennial, Asteraceae, Central-eastern United States, 4 to 8, 2.00 to 3.00 feet, 1.00 to 1.50 feet, July to October, Yellow rays with brown-purple center disk, Full sun, Medium, Low, Naturalize, Showy," Deer, Drought",,, Butterflies,,
Ruellia humilis, wild petunia , Herbaceous perennial, Acanthaceae, Eastern and central United States, 4 to 8, 1.50 to 2.00 feet, 1.50 to 2.00 feet, May to October, Lavender/lilac-blue, Full sun to part shade, Dry to medium, Medium, Rain Garden, Showy," Drought, Dry Soil, Shallow-Rocky Soil",,, Butterflies,,
Ruellia strepens, wild petunia , Herbaceous perennial, Acanthaceae, New Jersey to Texas and Florida, 5 to 8, 1.00 to 3.00 feet, 1.00 to 1.50 feet, May to September, Lilac to lavender, Part shade, Medium, Low,, Showy,,,,,,
Sabal minor, dwarf palmetto , Palm or Cycad, Arecaceae, Southeastern United States, 7 to 10, 4.00 to 6.00 feet, 4.00 to 6.00 feet, June to July, Yellowish-white, Full sun to part shade, Medium, High,, Showy,,, Evergreen,, Showy, Winter Interest
Sabatia angularis, rose gentian , Herbaceous perennial, Gentianaceae," Florida, Texas to New York and Missouri", 6 to 9, 1.00 to 3.00 feet, 1.00 to 2.00 feet, June to September, Rose pink flowers, Full sun to part shade, Medium, Low,," Showy, Fragrant",,,, Butterflies,,
Sagittaria latifolia, broadleaf arrowhead , Herbaceous perennial, Alismataceae, Eastern and central North America, 5 to 10, 1.00 to 4.00 feet, 1.00 to 3.00 feet, July to September, White, Full sun, Wet, Medium," Water Plant, Naturalize, Rain Garden", Showy,,,, Birds,,
Salix nigra, black willow , Tree, Salicaceae, North America, 4 to 9, 30.00 to 60.00 feet, 30.00 to 60.00 feet, March to April, Yellowish-green, Full sun to part shade, Medium to wet, High,, Insignificant, Erosion,,,,,
Salvia azurea, blue sage , Herbaceous perennial, Lamiaceae, Southeastern United States, 5 to 9, 3.00 to 5.00 feet, 2.00 to 4.00 feet, July to October, Azure blue, Full sun, Dry to medium, Low,, Showy," Deer, Drought, Dry Soil, Shallow-Rocky Soil",,, Butterflies,,
Salvia lyrata, cancer weed , Herbaceous perennial, Lamiaceae, Eastern and central United States, 5 to 8, 1.00 to 2.00 feet, 0.75 to 1.00 feet, April to June, Purple, Full sun, Medium to wet, Medium, Rain Garden, Showy," Deer, Clay Soil, Wet Soil, Shallow-Rocky Soil",,, Butterflies,,
Sambucus nigra, black elder , Deciduous shrub, Adoxaceae," Europe, northern Africa, southwestern Asia", 5 to 8, 8.00 to 20.00 feet, 8.00 to 20.00 feet, May to June, White, Full sun to part shade, Medium to wet, High," Hedge, Naturalize, Rain Garden"," Showy, Fragrant", Clay Soil,,," Birds, Butterflies"," Showy, Edible",
Sanguinaria canadensis, bloodroot , Herbaceous perennial, Papaveraceae, Eastern and central North America, 3 to 8, 0.50 to 0.75 feet, 0.25 to 0.50 feet, March to April, White or pink tinged, Part shade to full shade, Medium, Medium, Naturalize, Showy," Drought, Dry Soil, Black Walnut",,,,,
Sapindus saponaria, soapberry , Broadleaf evergreen, Sapindaceae, Tropical Americas, 9 to 11, 20.00 to 40.00 feet, 20.00 to 40.00 feet, May to June, Creamy-white to yellow-white, Full sun, Dry to medium, Medium," Shade Tree, Street Tree", Showy," Drought, Dry Soil",, Good Fall,, Showy, Winter Interest
Sarracenia flava, yellow pitcher plant , Herbaceous perennial, Sarraceniaceae, Southeastern United States, 6 to 8, 1.50 to 3.00 feet, 1.50 to 3.00 feet, April to May, Yellow, Full sun, Wet, High," Water Plant, Rain Garden"," Showy, Fragrant",,, Colorful,,,
Sarracenia leucophylla, white trumpet pitcher plant , Herbaceous perennial, Sarraceniaceae, Southeastern United States, 6 to 8, 1.00 to 3.00 feet, 1.00 to 3.00 feet, April to May, Red, Full sun, Wet, High," Water Plant, Rain Garden"," Showy, Fragrant",,, Colorful,,,
Sarracenia purpurea, common pitcher plant , Herbaceous perennial, Sarraceniaceae, North America, 3 to 8, 0.75 to 1.50 feet, 1.00 to 2.00 feet, May to June, Dark purple-red, Full sun, Wet, High, Water Plant, Showy, Wet Soil,, Colorful,,,
Sarracenia rubra, sweet pitcher plant , Herbaceous perennial, Sarraceniaceae, Southeastern United States, 6 to 8, 1.00 to 1.50 feet, 1.00 to 1.50 feet, April to May, Maroon-dark red, Full sun, Wet, High," Water Plant, Rain Garden"," Showy, Fragrant", Wet Soil,, Colorful,,,
Sassafras albidum, sassafras , Tree, Lauraceae, Eastern North America, 4 to 9, 30.00 to 60.00 feet, 25.00 to 40.00 feet, April to May, Greenish-yellow, Full sun to part shade, Medium, Medium, Flowering Tree, Showy," Deer, Drought, Clay Soil, Black Walnut",,,, Showy,
Saururus cernuus, lizard's tail , Herbaceous perennial, Saururaceae, Eastern North America, 3 to 9, 1.00 to 2.00 feet, 1.00 to 2.00 feet, June to September, White, Full sun to part shade, Wet, Low," Water Plant, Naturalize, Rain Garden"," Showy, Fragrant"," Heavy Shade, Wet Soil",, Fragrant,,,
Schizachyrium scoparium, little bluestem , Ornamental grass, Poaceae, Eastern North America, 3 to 9, 2.00 to 4.00 feet, 1.50 to 2.00 feet, August to February, Purplish bronze, Full sun, Dry to medium, Low, Rain Garden, Insignificant," Deer, Drought, Erosion, Dry Soil, Shallow-Rocky Soil, Black Walnut, Air Pollution",, Good Fall,,, Winter Interest
Schoenoplectus tabernaemontani, softstem bulrush , Rush or Sedge, Cyperaceae," Mexico, United States", 4 to 9, 4.00 to 8.00 feet, 3.00 to 6.00 feet, May to September, Brown, Full sun, Wet, Low," Water Plant, Naturalize, Rain Garden", Insignificant," Black Walnut, Air Pollution",,,,,
Scirpus atrovirens, green bulrush , Rush or Sedge, Cyperaceae, North America, 3 to 9, 4.00 to 5.00 feet, 3.00 to 4.00 feet, June to July, Green maturing to brown, Full sun to part shade, Medium to wet, Low," Water Plant, Naturalize, Rain Garden", Showy, Wet Soil,,,,,
Scirpus cyperinus, wool grass , Rush or Sedge, Cyperaceae, Eastern North America, 4 to 8, 3.00 to 5.00 feet, 2.00 to 4.00 feet, June to July, Green maturing to brown, Full sun to part shade, Wet, Low," Water Plant, Naturalize, Rain Garden", Insignificant, Wet Soil,,,,, Winter Interest
Scrophularia marilandica, figwort , Herbaceous perennial, Scrophulariaceae, Central North America, 4 to 7, 5.00 to 10.00 feet, 3.00 to 6.00 feet, July to September, Greenish-purple, Full sun to part shade, Medium, Low,, Showy,,,,,,
Scutellaria incana, downy skullcap , Herbaceous perennial, Lamiaceae, Central and eastern United States, 5 to 8, 2.00 to 3.00 feet, 1.50 to 2.00 feet, July to September, Blue, Full sun to part shade, Dry to medium, Low,, Showy," Drought, Clay Soil, Dry Soil",,,,,
Scutellaria lateriflora, mad-dog scullcap , Herbaceous perennial, Lamiaceae, North America, 3 to 9, 2.00 to 3.00 feet, 1.50 to 2.50 feet, July to October, Blue, Full sun to part shade, Medium to wet, Low, Naturalize, Showy," Rabbit, Deer, Wet Soil",,,,,
Scutellaria ovata, heart-leaved skullcap , Herbaceous perennial, Lamiaceae, Central North America, 4 to 9, 1.00 to 2.00 feet, 0.75 to 1.50 feet, May to September, Blue - purple, Full sun, Dry to medium, Low, Naturalize, Showy," Drought, Dry Soil, Shallow-Rocky Soil",,,,,
Sedum ternatum, three-leaved stonecrop , Herbaceous perennial, Crassulaceae, Eastern United States, 4 to 8, 0.25 to 0.50 feet, 0.50 to 0.75 feet, April to May, White, Full sun to part shade, Medium, Low," Ground Cover, Naturalize", Showy," Rabbit, Deer, Drought, Air Pollution",,, Butterflies,,
Senna marilandica, wild senna , Herbaceous perennial, Fabaceae, Midwestern and southeastern United States, 4 to 9, 3.00 to 6.00 feet, 2.00 to 3.00 feet, July to August, Yellow, Full sun, Medium, Low,, Showy, Clay Soil,,,, Showy,
Senna obtusifolia, java-bean , Herbaceous perennial, Fabaceae," Eastern United States, Central America, Northern South America", 5 to 10, 2.00 to 5.00 feet, 2.00 to 5.00 feet, July to September, Yellow, Full sun, Medium, Low, Naturalize, Showy," Drought, Clay Soil",,,,,
Sideroxylon lanuginosum, chittamwood , Tree, Sapotaceae," Southeastern United States, Mexico", 6 to 10, 15.00 to 45.00 feet, 10.00 to 30.00 feet, June, White, Full sun to part shade, Dry to medium, Low,, Showy," Drought, Dry Soil, Shallow-Rocky Soil",,, Birds, Showy, Thorns
Silene caroliniana, wild pink , Herbaceous perennial, Caryophyllaceae, North America, 5 to 8, 0.75 to 1.00 feet, 0.75 to 1.00 feet, April to May, Pink, Full sun to part shade, Dry to medium, Medium,, Showy," Drought, Dry Soil, Shallow-Rocky Soil",,, Butterflies,,
Silene regia, royal catchfly , Herbaceous perennial, Caryophyllaceae, Central and southern United States, 5 to 8, 3.00 to 4.00 feet, 1.50 to 2.00 feet, July to August, Scarlet, Full sun to part shade, Dry to medium, Medium,, Showy," Drought, Dry Soil, Shallow-Rocky Soil",,, Hummingbirds,,
Silene stellata, starry campion , Herbaceous perennial, Caryophyllaceae, Central and eastern United States, 5 to 8, 2.00 to 3.00 feet, 1.50 to 2.00 feet, June to July, White, Full sun to part shade, Dry to medium, Medium,, Showy," Drought, Clay Soil, Dry Soil",,,,,
Silene virginica, fire pink , Herbaceous perennial, Caryophyllaceae, Eastern North America, 4 to 8, 1.00 to 1.50 feet, 0.75 to 1.50 feet, April to June, Red, Full sun to part shade, Dry to medium, Medium,, Showy," Drought, Clay Soil, Dry Soil, Shallow-Rocky Soil",,, Hummingbirds,,
Silphium integrifolium, rosinweed , Herbaceous perennial, Asteraceae, Central United States, 4 to 8, 2.00 to 6.00 feet, 1.00 to 3.00 feet, July to September, Yellow, Full sun, Medium, Low, Naturalize, Showy, Clay Soil,,," Birds, Butterflies",,
Silphium laciniatum, compass plant , Herbaceous perennial, Asteraceae, Central North America, 3 to 8, 5.00 to 9.00 feet, 1.50 to 3.00 feet, July to September, Yellow, Full sun, Medium, Low,, Showy,,,, Butterflies,,
Silphium perfoliatum, cup plant , Herbaceous perennial, Asteraceae, Central-eastern Canada to southeastern United States, 3 to 9, 4.00 to 8.00 feet, 1.00 to 3.00 feet, July to September, Yellow, Full sun, Medium to wet, Low," Naturalize, Rain Garden", Showy," Clay Soil, Wet Soil", Where is this species invasive in the US?,," Birds, Butterflies",,
Silphium terebinthinaceum, prairie dock , Herbaceous perennial, Asteraceae, Central-eastern Canada to southeastern United States, 4 to 8, 3.00 to 10.00 feet, 1.00 to 3.00 feet, July to September, Yellow, Full sun, Medium, Low,, Showy, Clay Soil,,, Birds,,
Sisyrinchium angustifolium, blue-eyed grass , Herbaceous perennial, Iridaceae, North America, 4 to 9, 1.50 to 2.00 feet, 0.50 to 1.00 feet, May to June, Blue, Full sun to part shade, Medium, Medium," Ground Cover, Naturalize"," Showy, Good Cut",,,,,,
Sium suave, water parsnip , Herbaceous perennial, Apiaceae, North America, 3 to 9, 2.00 to 6.00 feet, 2.00 to 3.00 feet, July to September, White, Full sun to part shade, Medium to wet, Medium, Rain Garden, Showy, Wet Soil,,,,,
Solidago caesia, blue stem goldenrod , Herbaceous perennial, Asteraceae, Central and eastern North America, 4 to 8, 1.50 to 3.00 feet, 1.50 to 3.00 feet, August to September, Yellow, Full sun to part shade, Dry to medium, Low,, Showy," Deer, Drought, Clay Soil",,, Butterflies,,
Solidago flexicaulis, broad leaf goldenrod , Herbaceous perennial, Asteraceae, Eastern North American, 3 to 8, 1.00 to 3.00 feet, 1.00 to 3.00 feet, July to September, Yellow, Full sun to part shade, Medium, Low, Naturalize, Showy," Deer, Heavy Shade, Clay Soil",,, Butterflies,,
Solidago gigantea, early goldenrod , Herbaceous perennial, Asteraceae, North America, 3 to 8, 3.00 to 7.00 feet, 2.00 to 6.00 feet, August to October, Yellow, Full sun to part shade, Medium to wet, Low," Naturalize, Rain Garden", Showy,,,, Butterflies,,
Solidago hispida, goldenrod , Herbaceous perennial, Asteraceae, Central and eastern North America, 3 to 8, 1.00 to 3.00 feet, 0.50 to 1.00 feet, July to September, Yellow, Full sun, Dry to medium, Low,, Showy," Deer, Drought, Clay Soil",,, Butterflies,,
Solidago juncea, early goldenrod , Herbaceous perennial, Asteraceae, Eastern North America, 3 to 8, 2.00 to 4.00 feet, 2.00 to 3.00 feet, July to August, Yellow, Full sun, Dry to medium, Low,," Showy, Good Cut"," Deer, Drought, Clay Soil",,, Butterflies,,
Solidago nemoralis, old field goldenrod , Herbaceous perennial, Asteraceae," Canada, United States", 3 to 9, 0.50 to 2.00 feet, 0.50 to 2.00 feet, August to September, Yellow, Full sun, Dry to medium, Low, Naturalize, Showy," Deer, Drought, Dry Soil, Shallow-Rocky Soil",,, Butterflies,,
Solidago odora, sweet goldenrod , Herbaceous perennial, Asteraceae, Eastern and southeastern United States, 4 to 9, 2.00 to 4.00 feet, 1.00 to 2.00 feet, August to September, Yellow, Full sun to part shade, Dry to medium, Low," Herb, Naturalize", Showy," Deer, Drought, Clay Soil",, Fragrant, Butterflies,,
Solidago rugosa, rough goldenrod , Herbaceous perennial, Asteraceae, Eastern North America, 4 to 8, 3.00 to 5.00 feet, 1.50 to 2.50 feet, August to October, Yellow, Full sun, Medium to wet, Low," Naturalize, Rain Garden", Showy," Deer, Clay Soil, Wet Soil",,, Butterflies,,
Solidago speciosa, goldenrod , Herbaceous perennial, Asteraceae, Central and eastern United States, 3 to 8, 2.00 to 3.00 feet, 2.00 to 3.00 feet, July to September, Yellow, Full sun, Dry to medium, Medium, Naturalize, Showy," Deer, Drought, Clay Soil",,, Butterflies,,
Solidago stricta, goldenrod , Herbaceous perennial, Asteraceae, Eastern and southcentral United States, 5 to 9, 3.00 to 6.00 feet, 2.00 to 4.00 feet, August to October, Yellow, Full sun, Medium to wet, Low, Naturalize, Showy," Deer, Clay Soil",,, Butterflies,,
Solidago uliginosa, bog goldenrod , Herbaceous perennial, Asteraceae, Eastern North America, 4 to 8, 2.00 to 5.00 feet, 2.00 to 4.00 feet, August to October, Yellow, Full sun to part shade, Medium to wet, Low, Naturalize, Showy," Deer, Wet Soil",,, Butterflies,,
Solidago ulmifolia, elm-leaved goldenrod , Herbaceous perennial, Asteraceae, Eastern and central North America, 3 to 8, 1.00 to 3.00 feet, 1.00 to 3.00 feet, July to October, Yellow, Full sun to part shade, Medium, Low, Naturalize, Showy," Deer, Drought, Clay Soil, Dry Soil",,, Butterflies,,
Sorghastrum nutans, Indian grass , Ornamental grass, Poaceae, Eastern and central United States, 4 to 9, 3.00 to 5.00 feet, 1.00 to 2.00 feet, September to February, Light brown with yellow stamens, Full sun, Dry to medium, Medium, Naturalize, Good Dried," Drought, Erosion, Dry Soil, Shallow-Rocky Soil, Black Walnut, Air Pollution",, Good Fall, Birds,, Winter Interest
Spigelia marilandica, Indian pink , Herbaceous perennial, Loganiaceae, Southeastern United States, 5 to 9, 1.00 to 2.00 feet, 0.50 to 1.50 feet, June, Red and yellow, Part shade to full shade, Medium, Low,, Showy, Wet Soil,,, Hummingbirds,,
Staphylea trifolia, bladdernut , Deciduous shrub, Staphyleaceae, Eastern United States, 3 to 8, 10.00 to 15.00 feet, 10.00 to 20.00 feet, April to May, White, Part shade to full shade, Dry to medium, Low," Flowering Tree, Rain Garden", Showy," Drought, Heavy Shade, Clay Soil, Dry Soil, Shallow-Rocky Soil, Black Walnut",,,, Showy,
Stenaria nigricans, diamondflowers , Herbaceous perennial, Rubiaceae, Central United States, 4 to 8, 0.50 to 1.50 feet, 0.50 to 1.50 feet, April to October, Pale lilac to white, Full sun to part shade, Medium, Low,, Showy,,,,,,
Stewartia ovata, mountain camellia , Tree, Theaceae, Southeastern United States, 5 to 9, 10.00 to 15.00 feet, 10.00 to 15.00 feet, July, White, Full sun to part shade, Medium, Low, Flowering Tree, Showy,,, Good Fall,,,
Stokesia laevis, Stokes' aster , Herbaceous perennial, Asteraceae, Southeastern United States, 5 to 9, 1.00 to 2.00 feet, 1.00 to 1.50 feet, May to July, Blue, Full sun, Medium, Low,, Showy," Rabbit, Drought",,,,,
Styrax americanus, American snowbell , Deciduous shrub, Styracaceae, Southeastern United States, 6 to 8, 6.00 to 10.00 feet, 6.00 to 10.00 feet, April to May, White, Full sun to part shade, Medium to wet, Medium,," Showy, Fragrant", Wet Soil,,, Butterflies,,
Symphoricarpos orbiculatus, coralberry , Deciduous shrub, Caprifoliaceae," Eastern United States, Mexico", 2 to 7, 2.00 to 5.00 feet, 4.00 to 8.00 feet, June to July, Pinkish white, Full sun to part shade, Medium, Medium,, Showy," Deer, Drought, Erosion, Clay Soil, Dry Soil",,, Birds, Showy, Winter Interest
