,Hardiness,Climate Zones,Plant Type,Plant Family,Exposure,Season of Interest,Height,Spread,Water Needs,Maintenance,Soil Type,Soil pH,Soil Drainage,Characteristics,Native Plants,Tolerance,Garden Uses,Garden Styles,Depth,Attracts,Spacing,Heat Zones
"aristolochia macrophylla
",5 – 8 What's My Zone?,"2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",Climbers,,"Full Sun, Partial Sun",Spring (Late)Summer (Early),15' – 30' (4.5m – 9m),15' – 20' (4.5m – 6m),Average,Low,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained",Showy,"United States, Midwest, Michigan, Northeast, Connecticut, Massachusetts, Maryland, New Jersey, New York, Pennsylvania, Vermont, Southeast, Alabama, Georgia, Kentucky, North Carolina, South Carolina, Tennessee, Virginia, West Virginia",,"Arbors, Pergolas, Trellises, Wall-Side Borders, Walls and Fences",City and Courtyard,,Butterflies,,4 – 8 What's My Zone?
"aronia arbutifolia
",4 – 9 What's My Zone?,"1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, 17",Shrubs,Aronia - Chokeberries,"Full Sun, Partial Sun","Spring (Mid,Late)FallWinter",5' – 10' (150cm – 3m),3' – 5' (90cm – 150cm),Average,Low,"Clay, Loam","Acid, Neutral",Moist but Well-Drained,"Showy, Semi-Evergreen, Fruit & Berries","United States, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas","Deer, Dry Soil, Wet Soil","Beds and Borders, Hedges and Screens, Ponds and Streams","Informal and Cottage, Prairie and Meadow, Traditional Garden",,"Birds, Butterflies","48"" – 60"" (120cm – 150cm)",4 – 8 What's My Zone?
"asarum canadense
",4 – 6 What's My Zone?,,Perennials,Asarum - Wild Gingers,"Partial Sun, Shade","Spring (Early,Mid,Late)Summer (Early,Mid,Late)Fall","6"" – 1' (15cm – 30cm)",1' – 2' (30cm – 60cm),Average,Low,"Loam, Sand","Acid, Neutral",Moist but Well-Drained,,"United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, North Dakota, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Arkansas, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia","Deer, Wet Soil","Edging, Ground Covers, Underplanting Roses and Shrubs, Wall-Side Borders",Prairie and Meadow,,,"12"" – 18"" (30cm – 45cm)",
"asclepias exaltata
",3 – 7 What's My Zone?,,Perennials,Asclepias,Partial Sun,"Summer (Early,Mid,Late)",2' – 6' (60cm – 180cm),1' – 2' (30cm – 60cm),Average,Low,"Loam, Sand","Acid, Alkaline, Neutral",Well-Drained,"Fragrant, Showy","United States, Midwest, Illinois, Indiana, Iowa, Michigan, Minnesota, Ohio, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Georgia, Kentucky, North Carolina, South Carolina, Tennessee, Virginia, West Virginia",Deer,Beds and Borders,"Informal and Cottage, Prairie and Meadow",,Butterflies,,
"asclepias lanceolata
",7 – 10 What's My Zone?,,Perennials,Asclepias,Full Sun,"Summer (Early,Mid,Late)",2' – 3' (60cm – 90cm),1' – 2' (30cm – 60cm),"Average, High",Low,"Clay, Loam","Acid, Alkaline, Neutral","Moist but Well-Drained, Moisture Retentive, Poorly Drained",Showy,"United States, Northeast, Delaware, Maryland, New Jersey, Southeast, Alabama, Florida, Georgia, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, Southwest, Texas",Wet Soil,"Beds and Borders, Bog Gardens, Ponds and Streams",Informal and Cottage,,Butterflies,"24"" (60cm)",
"asclepias perennis
",6 – 10 What's My Zone?,,Perennials,Asclepias,"Full Sun, Partial Sun","Spring (Late)Summer (Early,Mid,Late)Fall",2' – 3' (60cm – 90cm),"10"" – 1' (25cm – 30cm)",High,Low,"Clay, Loam, Sand","Acid, Alkaline, Neutral","Moisture Retentive, Poorly Drained","Fragrant, Showy","United States, Midwest, Illinois, Indiana, Missouri, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, South Carolina, Tennessee, Southwest, Texas","Deer, Rabbit, Wet Soil","Bog Gardens, Ponds and Streams",Informal and Cottage,,Butterflies,"12"" (30cm)",
"asclepias quadrifolia
",5 – 8 What's My Zone?,,Perennials,Asclepias,"Full Sun, Partial Sun","Spring (Late)Summer (Early,Mid)",1' – 3' (30cm – 90cm),1' – 2' (30cm  – 60cm),"Low, Average",Low,"Clay, Loam, Sand","Acid, Alkaline, Neutral",Well-Drained,"Dried Arrangements, Fragrant, Showy","United States, Midwest, Illinois, Indiana, Iowa, Kansas, Minnesota, Missouri, Ohio, Northeast, Connecticut, Delaware, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Arkansas, Georgia, Kentucky, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma","Clay Soil, Deer, Drought, Dry Soil",Beds and Borders,"Gravel and Rock Garden, Informal and Cottage, Prairie and Meadow",,Butterflies,"18"" (45cm)",
"asclepias syriaca
",3 – 9 What's My Zone?,,Perennials,Asclepias,Full Sun,"Summer (Early,Mid,Late)",3' – 4' (90cm – 120cm),"9"" – 1' (22cm – 30cm)","Low, Average",Low,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Well-Drained,"Fragrant, Showy","United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Pacific Northwest, Oregon, Rocky Mountains, Montana, Southeast, Alabama, Arkansas, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas","Deer, Drought, Dry Soil, Rocky Soil",,"Informal and Cottage, Prairie and Meadow",,"Butterflies, Hummingbirds","12"" (30cm)",2 – 9 What's My Zone?
"asclepias verticillata
",4 – 9 What's My Zone?,,Perennials,Asclepias,"Full Sun, Partial Sun","Spring (Late)Summer (Early,Mid,Late)Fall",1' – 3' (30cm – 90cm),1' – 2' (30cm – 60cm),Low,Low,"Clay, Loam, Sand","Acid, Alkaline, Neutral",Well-Drained,"Dried Arrangements, Showy","United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Massachusetts, Maryland, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Rocky Mountains, Montana, Wyoming, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Arizona, New Mexico, Oklahoma, Texas","Deer, Drought, Dry Soil",Beds and Borders,"Informal and Cottage, Prairie and Meadow",,"Butterflies, Hummingbirds","18"" – 24"" (45cm – 60cm)",
"asclepias viridis
",5 – 9 What's My Zone?,,Perennials,Asclepias,Full Sun,"Spring (Late)Summer (Early,Mid)",1' – 3' (30cm – 90cm),1' – 2' (30cm – 60cm),"Low, Average",Low,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Well-Drained,Showy,"United States, Midwest, Illinois, Indiana, Kansas, Missouri, Nebraska, Ohio, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, South Carolina, Tennessee, West Virginia, Southwest, Oklahoma, Texas","Deer, Drought, Dry Soil",,"Informal and Cottage, Prairie and Meadow",,"Birds, Butterflies","24"" (60cm)",
"asimina triloba
",5 – 9 What's My Zone?,,"Fruit, Shrubs, Trees",,"Full Sun, Partial Sun","Spring (Mid,Late)Fall",15' – 30' (4.5m – 9m),15' – 30' (4.5m – 9m),Average,Low,Loam,"Acid, Neutral",Moist but Well-Drained,"Showy, Fruit & Berries","United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Missouri, Nebraska, Ohio, Wisconsin, Northeast, Delaware, Maryland, New Jersey, New York, Pennsylvania, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas",Wet Soil,"Ponds and Streams, Rain Gardens, Wall-Side Borders","City and Courtyard, Mediterranean Garden",,,,6 – 8 What's My Zone?
"baccharis halimifolia
",5 – 11 What's My Zone?,,Shrubs,,Full Sun,Summer (Late)Fall,3' – 10' (90cm – 3m),3' – 10' (90cm – 3m),"Average, High",Low,"Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,"Showy, Semi-Evergreen","United States, Northeast, Connecticut, Delaware, Massachusetts, Maryland, New Jersey, New York, Pennsylvania, Rhode Island, Southeast, Alabama, Arkansas, Florida, Georgia, Louisiana, Mississippi, North Carolina, South Carolina, Virginia, Southwest, Oklahoma, Texas","Clay Soil, Dry Soil, Rocky Soil, Salt, Wet Soil","Bog Gardens, Hedges and Screens, Ponds and Streams, Rain Gardens","Coastal Garden, Informal and Cottage",,"Birds, Butterflies",,1 – 7 What's My Zone?
"bacopa monnieri
",8 – 11 What's My Zone?,,Perennials,,"Full Sun, Partial Sun","Spring (Early,Mid,Late)Summer (Early,Mid,Late)FallWinter",1' – 3' (30cm – 90cm),1' – 4' (30cm – 120cm),"Average, High",Low,"Clay, Loam, Sand","Acid, Alkaline, Neutral","Moisture Retentive, Poorly Drained",Showy,"United States, California, Northeast, Maryland, Southeast, Alabama, Florida, Georgia, Louisiana, Mississippi, North Carolina, South Carolina, Virginia, Southwest, Arizona, Oklahoma, Texas","Salt, Wet Soil","Bog Gardens, Ground Covers, Hanging Baskets, Patio and Containers, Ponds and Streams, Water Gardens",,,Butterflies,"12"" – 36"" (30cm – 90cm)",
"baptisia alba
",5 – 8 What's My Zone?,"1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",Perennials,Baptisia - False Indigo,"Full Sun, Partial Sun","Spring (Mid,Late)Summer (Early,Mid,Late)FallWinter",2' – 4' (60cm – 120cm),2' – 3' (60cm  – 90cm),"Low, Average",Low,"Clay, Loam, Sand","Acid, Neutral",Well-Drained,"Dried Arrangements, Cut Flowers, Showy","United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, Ohio, Wisconsin, Northeast, Maryland, New York, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, Southwest, Oklahoma, Texas","Clay Soil, Drought, Dry Soil",Beds and Borders,"Informal and Cottage, Prairie and Meadow",,Butterflies,"30"" – 36"" (75cm – 90cm)",
"baptisia bracteata
",3 – 9 What's My Zone?,,Perennials,Baptisia - False Indigo,"Full Sun, Partial Sun",Spring (Late)Summer (Early),2' – 3' (60cm – 90cm),2' – 3' (60cm – 90cm),"Low, Average",Low,"Loam, Sand","Acid, Neutral","Moist but Well-Drained, Well-Drained","Dried Arrangements, Cut Flowers, Showy","United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, South Dakota, Wisconsin, Northeast, Massachusetts, New Jersey, Southeast, Alabama, Arkansas, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Southwest, Oklahoma, Texas","Drought, Dry Soil",Beds and Borders,"Informal and Cottage, Prairie and Meadow",,Butterflies,"30"" – 36"" (75cm – 90cm)",
"berchemia scandens
",6 – 9 What's My Zone?,,Climbers,,"Full Sun, Partial Sun","Spring (Mid,Late)Summer (Early,Mid,Late)Fall",20' – 60' (6m – 18m),6' – 12' (180cm – 3.6m),"Low, Average, High",Low,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained","Showy, Fruit & Berries","United States, Midwest, Illinois, Missouri, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, Southwest, Oklahoma, Texas",Drought,"Arbors, Pergolas, Trellises, Walls and Fences",Prairie and Meadow,,Birds,,
"betula lenta
",3 – 7 What's My Zone?,,Trees,Betula - Birches,"Full Sun, Partial Sun","Spring (Early,Mid,Late)Summer (Early,Mid,Late)FallWinter",40' – 50' (12m – 15m),35' – 50' (10.5m – 15m),Average,Low,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained","Fragrant, Showy","United States, Midwest, Ohio, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Georgia, Kentucky, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia","Deer, Dry Soil, Salt",,"Coastal Garden, Informal and Cottage, Prairie and Meadow",,"Birds, Butterflies",,2 – 7 What's My Zone?
"bidens alba
",8 – 11 What's My Zone?,,"Annuals, Perennials",,Full Sun,"Spring (Mid,Late)Summer (Early,Mid,Late)Fall",1' – 3' (30cm – 90cm),1' – 3' (30cm – 90cm),"Low, Average",Low,"Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained",Showy,"United States, Midwest, Missouri, Northeast, Connecticut, Pennsylvania, Southeast, Alabama, Florida, Georgia, Louisiana",,,Prairie and Meadow,,Butterflies,"12"" – 36"" (30cm – 90cm)",
"bidens aristosa
",5 – 9 What's My Zone?,,Annuals,,"Full Sun, Partial Sun","Summer (Mid,Late)",2' – 4' (60cm – 120cm),1' – 2' (30cm – 60cm),"Average, High",Low,"Clay, Loam, Sand",Neutral,Moist but Well-Drained,Showy,"United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, Ohio, Wisconsin, Northeast, Connecticut, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rocky Mountains, Colorado, Southeast, Alabama, Arkansas, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, New Mexico, Oklahoma, Texas",Wet Soil,"Ponds and Streams, Rain Gardens","Informal and Cottage, Prairie and Meadow",,"Birds, Butterflies","18"" – 24"" (45cm – 60cm)",
"bidens laevis
",8 – 10 What's My Zone?,"7, 8, 9, 10, 11, 12, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24","Annuals, Perennials",,"Full Sun, Partial Sun","Summer (Early,Mid,Late)Fall",1' – 6' (30cm – 180cm),,"Average, High",Low,"Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Moisture Retentive, Poorly Drained",Showy,"United States, California, Midwest, Indiana, Missouri, Ohio, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Nevada, Arizona, New Mexico, Texas",Wet Soil,"Bog Gardens, Ponds and Streams",,,Butterflies,,
"blephilia ciliata
",4 – 8 What's My Zone?,,Perennials,,"Full Sun, Partial Sun","Spring (Late)Summer (Early,Mid,Late)",1' – 3' (30cm – 90cm),"9"" – 2' (22cm – 60cm)",Low,Low,"Loam, Sand","Acid, Neutral",Well-Drained,Showy,"United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Missouri, Ohio, Wisconsin, Northeast, Connecticut, Delaware, Massachusetts, Maryland, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Arkansas, Georgia, Kentucky, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma","Deer, Drought, Dry Soil",,"Informal and Cottage, Prairie and Meadow",,Butterflies,"12"" – 18"" (30cm – 45cm)",
"boltonia asteroides
",3 – 10 What's My Zone?,"1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",Perennials,,Full Sun,"Summer (Mid,Late)Fall",5' – 6' (150cm – 180cm),2' – 4' (60cm – 120cm),"Low, Average",Average,"Clay, Loam, Sand","Acid, Neutral",Well-Drained,"Cut Flowers, Showy","United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Pacific Northwest, Idaho, Oregon, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, Southwest, Oklahoma, Texas",Clay Soil,Beds and Borders,"Informal and Cottage, Prairie and Meadow",,Butterflies,"36""  – 48"" (90cm – 120cm)",
"borrichia frutescens
",8 – 11 What's My Zone?,,"Perennials, Shrubs",,Full Sun,"Spring (Early,Mid,Late)Summer (Early,Mid,Late)FallWinter",2' – 3' (60cm – 90cm),2' – 3' (60cm – 90cm),"Low, Average",Low,"Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained","Showy, Semi-Evergreen","United States, Northeast, Maryland, Southeast, Alabama, Florida, Georgia, Louisiana, Mississippi, North Carolina, South Carolina, Virginia, Southwest, Arizona, Texas","Drought, Salt, Wet Soil","Beds and Borders, Ground Covers, Hedges and Screens","Coastal Garden, Informal and Cottage, Mediterranean Garden",,"Birds, Butterflies","36"" – 60"" (90cm – 150cm)",
"botrychium virginianum
",4 – 9 What's My Zone?,,Ferns,,"Partial Sun, Shade","Spring (Mid,Late)Summer (Early,Mid,Late)Fall","6"" – 2' (15cm – 60cm)","8"" – 10"" (20cm – 25cm)",Average,Low,"Loam, Sand","Acid, Neutral","Moist but Well-Drained, Well-Drained",Showy,"United States, Alaska, California, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Pacific Northwest, Idaho, Oregon, Washington, Rocky Mountains, Colorado, Montana, Utah, Wyoming, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Nevada, Arizona, New Mexico, Oklahoma, Texas",Deer,"Beds and Borders, Ground Covers, Underplanting Roses and Shrubs","Informal and Cottage, Prairie and Meadow",,,"10"" (25cm)",
"bouteloua curtipendula
",4 – 9 What's My Zone?,"1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B, 7, 8, 9, 10, 11, 14, 18, 19, 20, 21",Ornamental Grasses,,Full Sun,"Spring (Late)Summer (Early,Mid,Late)Fall",1' – 3' (30cm – 90cm),1' – 2' (30cm – 60cm),Low,Low,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Well-Drained,"Dried Arrangements, Cut Flowers, Showy","United States, California, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Maine, Maryland, New Jersey, New York, Pennsylvania, Pacific Northwest, Idaho, Oregon, Washington, Rocky Mountains, Colorado, Montana, Utah, Wyoming, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Nevada, Arizona, New Mexico, Oklahoma, Texas","Deer, Drought, Dry Soil, Rocky Soil","Beds and Borders, Ground Covers","Gravel and Rock Garden, Mediterranean Garden, Prairie and Meadow",,"Birds, Butterflies","36"" – 48"" (90cm – 120cm)",
"brasenia schreberi
",3 – 10 What's My Zone?,,Aquatic Plants,,Full Sun,"Summer (Early,Mid,Late)Fall","1"" – 2"" (2cm – 5cm)",,High,Average,"Clay, Loam","Acid, Alkaline, Neutral",Poorly Drained,Showy,"Australia, United States, Alaska, California, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Pacific Northwest, Idaho, Oregon, Washington, Rocky Mountains, Montana, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas",,"Ponds and Streams, Water Gardens",,,,,
"brickellia eupatorioides
",6 – 9 What's My Zone?,,Perennials,,Full Sun,"Spring (Late)Summer (Early,Mid,Late)FallWinter",1' – 4' (30cm – 120cm),1' – 2' (30cm – 60cm),Low,Low,"Clay, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained",Showy,"United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Delaware, Maryland, New Jersey, Pennsylvania, Rocky Mountains, Colorado, Montana, Utah, Wyoming, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Arizona, New Mexico, Oklahoma, Texas","Drought, Dry Soil","Banks and Slopes, Beds and Borders","Informal and Cottage, Prairie and Meadow",,Butterflies,"18"" – 24"" (45cm – 60cm)",
