,Hardiness,Climate Zones,Plant Type,Plant Family,Exposure,Season of Interest,Height,Spread,Water Needs,Maintenance,Soil Type,Soil pH,Soil Drainage,Characteristics,Native Plants,Tolerance,Garden Uses,Garden Styles,Depth,Attracts,Spacing,Heat Zones
Aronia arbutifolia,4 to 9,"1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, 17",Shrubs,Aronia - Chokeberries,"Full Sun, Partial Sun","Spring (Mid,Late)-FallWinter",5' to 10' (150cm to 3m),3' to 5' (90cm to 150cm),Average,Low,"Clay, Loam","Acid, Neutral",Moist but Well-Drained,"Showy, Semi-Evergreen, Fruit & Berries","United States, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas","Deer, Dry Soil, Wet Soil","Beds and Borders, Hedges and Screens, Ponds and Streams","Informal and Cottage, Prairie and Meadow, Traditional Garden",,"Birds, Butterflies","48"" to 60"" (120cm to 150cm)",4 to 8
Asarum canadense,4 to 6,,Perennials,Asarum - Wild Gingers,"Partial Sun, Shade","Spring (Early,Mid,Late)-Summer (Early,Mid,Late)-Fall","6"" to 1' (15cm to 30cm)",1' to 2' (30cm to 60cm),Average,Low,"Loam, Sand","Acid, Neutral",Moist but Well-Drained,,"United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, North Dakota, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Arkansas, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia","Deer, Wet Soil","Edging, Ground Covers, Underplanting Roses and Shrubs, Wall-Side Borders",Prairie and Meadow,,,"12"" to 18"" (30cm to 45cm)",
Asclepias exaltata,3 to 7,,Perennials,Asclepias,Partial Sun,"Summer (Early,Mid,Late)-",2' to 6' (60cm to 180cm),1' to 2' (30cm to 60cm),Average,Low,"Loam, Sand","Acid, Alkaline, Neutral",Well-Drained,"Fragrant, Showy","United States, Midwest, Illinois, Indiana, Iowa, Michigan, Minnesota, Ohio, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Georgia, Kentucky, North Carolina, South Carolina, Tennessee, Virginia, West Virginia",Deer,Beds and Borders,"Informal and Cottage, Prairie and Meadow",,Butterflies,,
Asclepias lanceolata,7 to 10,,Perennials,Asclepias,Full Sun,"Summer (Early,Mid,Late)-",2' to 3' (60cm to 90cm),1' to 2' (30cm to 60cm),"Average, High",Low,"Clay, Loam","Acid, Alkaline, Neutral","Moist but Well-Drained, Moisture Retentive, Poorly Drained",Showy,"United States, Northeast, Delaware, Maryland, New Jersey, Southeast, Alabama, Florida, Georgia, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, Southwest, Texas",Wet Soil,"Beds and Borders, Bog Gardens, Ponds and Streams",Informal and Cottage,,Butterflies,"24"" (60cm)",
Asclepias perennis,6 to 10,,Perennials,Asclepias,"Full Sun, Partial Sun","Spring (Late)-Summer (Early,Mid,Late)-Fall",2' to 3' (60cm to 90cm),"10"" to 1' (25cm to 30cm)",High,Low,"Clay, Loam, Sand","Acid, Alkaline, Neutral","Moisture Retentive, Poorly Drained","Fragrant, Showy","United States, Midwest, Illinois, Indiana, Missouri, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, South Carolina, Tennessee, Southwest, Texas","Deer, Rabbit, Wet Soil","Bog Gardens, Ponds and Streams",Informal and Cottage,,Butterflies,"12"" (30cm)",
Asclepias quadrifolia,5 to 8,,Perennials,Asclepias,"Full Sun, Partial Sun","Spring (Late)-Summer (Early,Mid)-",1' to 3' (30cm to 90cm),1' to 2' (30cm  to 60cm),"Low, Average",Low,"Clay, Loam, Sand","Acid, Alkaline, Neutral",Well-Drained,"Dried Arrangements, Fragrant, Showy","United States, Midwest, Illinois, Indiana, Iowa, Kansas, Minnesota, Missouri, Ohio, Northeast, Connecticut, Delaware, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Arkansas, Georgia, Kentucky, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma","Clay Soil, Deer, Drought, Dry Soil",Beds and Borders,"Gravel and Rock Garden, Informal and Cottage, Prairie and Meadow",,Butterflies,"18"" (45cm)",
Asclepias syriaca,3 to 9,,Perennials,Asclepias,Full Sun,"Summer (Early,Mid,Late)-",3' to 4' (90cm to 120cm),"9"" to 1' (22cm to 30cm)","Low, Average",Low,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Well-Drained,"Fragrant, Showy","United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Pacific Northwest, Oregon, Rocky Mountains, Montana, Southeast, Alabama, Arkansas, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas","Deer, Drought, Dry Soil, Rocky Soil",,"Informal and Cottage, Prairie and Meadow",,"Butterflies, Hummingbirds","12"" (30cm)",2 to 9
Asclepias verticillata,4 to 9,,Perennials,Asclepias,"Full Sun, Partial Sun","Spring (Late)-Summer (Early,Mid,Late)-Fall",1' to 3' (30cm to 90cm),1' to 2' (30cm to 60cm),Low,Low,"Clay, Loam, Sand","Acid, Alkaline, Neutral",Well-Drained,"Dried Arrangements, Showy","United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Massachusetts, Maryland, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Rocky Mountains, Montana, Wyoming, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Arizona, New Mexico, Oklahoma, Texas","Deer, Drought, Dry Soil",Beds and Borders,"Informal and Cottage, Prairie and Meadow",,"Butterflies, Hummingbirds","18"" to 24"" (45cm to 60cm)",
Asclepias viridis,5 to 9,,Perennials,Asclepias,Full Sun,"Spring (Late)-Summer (Early,Mid)-",1' to 3' (30cm to 90cm),1' to 2' (30cm to 60cm),"Low, Average",Low,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Well-Drained,Showy,"United States, Midwest, Illinois, Indiana, Kansas, Missouri, Nebraska, Ohio, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, South Carolina, Tennessee, West Virginia, Southwest, Oklahoma, Texas","Deer, Drought, Dry Soil",,"Informal and Cottage, Prairie and Meadow",,"Birds, Butterflies","24"" (60cm)",
Asimina triloba,5 to 9,,"Fruit, Shrubs, Trees",,"Full Sun, Partial Sun","Spring (Mid,Late)-Fall",15' to 30' (4.5m to 9m),15' to 30' (4.5m to 9m),Average,Low,Loam,"Acid, Neutral",Moist but Well-Drained,"Showy, Fruit & Berries","United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Missouri, Nebraska, Ohio, Wisconsin, Northeast, Delaware, Maryland, New Jersey, New York, Pennsylvania, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas",Wet Soil,"Ponds and Streams, Rain Gardens, Wall-Side Borders","City and Courtyard, Mediterranean Garden",,,,6 to 8
Baccharis halimifolia,5 to 11,,Shrubs,,Full Sun,Summer (Late)-Fall,3' to 10' (90cm to 3m),3' to 10' (90cm to 3m),"Average, High",Low,"Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,"Showy, Semi-Evergreen","United States, Northeast, Connecticut, Delaware, Massachusetts, Maryland, New Jersey, New York, Pennsylvania, Rhode Island, Southeast, Alabama, Arkansas, Florida, Georgia, Louisiana, Mississippi, North Carolina, South Carolina, Virginia, Southwest, Oklahoma, Texas","Clay Soil, Dry Soil, Rocky Soil, Salt, Wet Soil","Bog Gardens, Hedges and Screens, Ponds and Streams, Rain Gardens","Coastal Garden, Informal and Cottage",,"Birds, Butterflies",,1 to 7
Bacopa monnieri,8 to 11,,Perennials,,"Full Sun, Partial Sun","Spring (Early,Mid,Late)-Summer (Early,Mid,Late)-FallWinter",1' to 3' (30cm to 90cm),1' to 4' (30cm to 120cm),"Average, High",Low,"Clay, Loam, Sand","Acid, Alkaline, Neutral","Moisture Retentive, Poorly Drained",Showy,"United States, California, Northeast, Maryland, Southeast, Alabama, Florida, Georgia, Louisiana, Mississippi, North Carolina, South Carolina, Virginia, Southwest, Arizona, Oklahoma, Texas","Salt, Wet Soil","Bog Gardens, Ground Covers, Hanging Baskets, Patio and Containers, Ponds and Streams, Water Gardens",,,Butterflies,"12"" to 36"" (30cm to 90cm)",
Baptisia alba,5 to 8,"1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",Perennials,Baptisia - False Indigo,"Full Sun, Partial Sun","Spring (Mid,Late)-Summer (Early,Mid,Late)-FallWinter",2' to 4' (60cm to 120cm),2' to 3' (60cm  to 90cm),"Low, Average",Low,"Clay, Loam, Sand","Acid, Neutral",Well-Drained,"Dried Arrangements, Cut Flowers, Showy","United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, Ohio, Wisconsin, Northeast, Maryland, New York, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, Southwest, Oklahoma, Texas","Clay Soil, Drought, Dry Soil",Beds and Borders,"Informal and Cottage, Prairie and Meadow",,Butterflies,"30"" to 36"" (75cm to 90cm)",
Baptisia bracteata,3 to 9,,Perennials,Baptisia - False Indigo,"Full Sun, Partial Sun",Spring (Late)-Summer (Early)-,2' to 3' (60cm to 90cm),2' to 3' (60cm to 90cm),"Low, Average",Low,"Loam, Sand","Acid, Neutral","Moist but Well-Drained, Well-Drained","Dried Arrangements, Cut Flowers, Showy","United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, South Dakota, Wisconsin, Northeast, Massachusetts, New Jersey, Southeast, Alabama, Arkansas, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Southwest, Oklahoma, Texas","Drought, Dry Soil",Beds and Borders,"Informal and Cottage, Prairie and Meadow",,Butterflies,"30"" to 36"" (75cm to 90cm)",
Berchemia scandens,6 to 9,,Climbers,,"Full Sun, Partial Sun","Spring (Mid,Late)-Summer (Early,Mid,Late)-Fall",20' to 60' (6m to 18m),6' to 12' (180cm to 3.6m),"Low, Average, High",Low,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained","Showy, Fruit & Berries","United States, Midwest, Illinois, Missouri, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, Southwest, Oklahoma, Texas",Drought,"Arbors, Pergolas, Trellises, Walls and Fences",Prairie and Meadow,,Birds,,
Betula lenta,3 to 7,,Trees,Betula - Birches,"Full Sun, Partial Sun","Spring (Early,Mid,Late)-Summer (Early,Mid,Late)-FallWinter",40' to 50' (12m to 15m),35' to 50' (10.5m to 15m),Average,Low,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained","Fragrant, Showy","United States, Midwest, Ohio, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Georgia, Kentucky, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia","Deer, Dry Soil, Salt",,"Coastal Garden, Informal and Cottage, Prairie and Meadow",,"Birds, Butterflies",,2 to 7
Bidens alba,8 to 11,,"Annuals, Perennials",,Full Sun,"Spring (Mid,Late)-Summer (Early,Mid,Late)-Fall",1' to 3' (30cm to 90cm),1' to 3' (30cm to 90cm),"Low, Average",Low,"Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained",Showy,"United States, Midwest, Missouri, Northeast, Connecticut, Pennsylvania, Southeast, Alabama, Florida, Georgia, Louisiana",,,Prairie and Meadow,,Butterflies,"12"" to 36"" (30cm to 90cm)",
Bidens aristosa,5 to 9,,Annuals,,"Full Sun, Partial Sun","Summer (Mid,Late)-",2' to 4' (60cm to 120cm),1' to 2' (30cm to 60cm),"Average, High",Low,"Clay, Loam, Sand",Neutral,Moist but Well-Drained,Showy,"United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, Ohio, Wisconsin, Northeast, Connecticut, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rocky Mountains, Colorado, Southeast, Alabama, Arkansas, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, New Mexico, Oklahoma, Texas",Wet Soil,"Ponds and Streams, Rain Gardens","Informal and Cottage, Prairie and Meadow",,"Birds, Butterflies","18"" to 24"" (45cm to 60cm)",
Bidens laevis,8 to 10,"7, 8, 9, 10, 11, 12, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24","Annuals, Perennials",,"Full Sun, Partial Sun","Summer (Early,Mid,Late)-Fall",1' to 6' (30cm to 180cm),,"Average, High",Low,"Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Moisture Retentive, Poorly Drained",Showy,"United States, California, Midwest, Indiana, Missouri, Ohio, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Nevada, Arizona, New Mexico, Texas",Wet Soil,"Bog Gardens, Ponds and Streams",,,Butterflies,,
Blephilia ciliata,4 to 8,,Perennials,,"Full Sun, Partial Sun","Spring (Late)-Summer (Early,Mid,Late)-",1' to 3' (30cm to 90cm),"9"" to 2' (22cm to 60cm)",Low,Low,"Loam, Sand","Acid, Neutral",Well-Drained,Showy,"United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Missouri, Ohio, Wisconsin, Northeast, Connecticut, Delaware, Massachusetts, Maryland, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Arkansas, Georgia, Kentucky, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma","Deer, Drought, Dry Soil",,"Informal and Cottage, Prairie and Meadow",,Butterflies,"12"" to 18"" (30cm to 45cm)",
Boltonia asteroides,3 to 10,"1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",Perennials,,Full Sun,"Summer (Mid,Late)-Fall",5' to 6' (150cm to 180cm),2' to 4' (60cm to 120cm),"Low, Average",Average,"Clay, Loam, Sand","Acid, Neutral",Well-Drained,"Cut Flowers, Showy","United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Pacific Northwest, Idaho, Oregon, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, Southwest, Oklahoma, Texas",Clay Soil,Beds and Borders,"Informal and Cottage, Prairie and Meadow",,Butterflies,"36""  to 48"" (90cm to 120cm)",
Borrichia frutescens,8 to 11,,"Perennials, Shrubs",,Full Sun,"Spring (Early,Mid,Late)-Summer (Early,Mid,Late)-FallWinter",2' to 3' (60cm to 90cm),2' to 3' (60cm to 90cm),"Low, Average",Low,"Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained","Showy, Semi-Evergreen","United States, Northeast, Maryland, Southeast, Alabama, Florida, Georgia, Louisiana, Mississippi, North Carolina, South Carolina, Virginia, Southwest, Arizona, Texas","Drought, Salt, Wet Soil","Beds and Borders, Ground Covers, Hedges and Screens","Coastal Garden, Informal and Cottage, Mediterranean Garden",,"Birds, Butterflies","36"" to 60"" (90cm to 150cm)",
Botrychium virginianum,4 to 9,,Ferns,,"Partial Sun, Shade","Spring (Mid,Late)-Summer (Early,Mid,Late)-Fall","6"" to 2' (15cm to 60cm)","8"" to 10"" (20cm to 25cm)",Average,Low,"Loam, Sand","Acid, Neutral","Moist but Well-Drained, Well-Drained",Showy,"United States, Alaska, California, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Pacific Northwest, Idaho, Oregon, Washington, Rocky Mountains, Colorado, Montana, Utah, Wyoming, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Nevada, Arizona, New Mexico, Oklahoma, Texas",Deer,"Beds and Borders, Ground Covers, Underplanting Roses and Shrubs","Informal and Cottage, Prairie and Meadow",,,"10"" (25cm)",
Bouteloua curtipendula,4 to 9,"1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B, 7, 8, 9, 10, 11, 14, 18, 19, 20, 21",Ornamental Grasses,,Full Sun,"Spring (Late)-Summer (Early,Mid,Late)-Fall",1' to 3' (30cm to 90cm),1' to 2' (30cm to 60cm),Low,Low,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Well-Drained,"Dried Arrangements, Cut Flowers, Showy","United States, California, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Maine, Maryland, New Jersey, New York, Pennsylvania, Pacific Northwest, Idaho, Oregon, Washington, Rocky Mountains, Colorado, Montana, Utah, Wyoming, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Nevada, Arizona, New Mexico, Oklahoma, Texas","Deer, Drought, Dry Soil, Rocky Soil","Beds and Borders, Ground Covers","Gravel and Rock Garden, Mediterranean Garden, Prairie and Meadow",,"Birds, Butterflies","36"" to 48"" (90cm to 120cm)",
Brasenia schreberi,3 to 10,,Aquatic Plants,,Full Sun,"Summer (Early,Mid,Late)-Fall","1"" to 2"" (2cm to 5cm)",,High,Average,"Clay, Loam","Acid, Alkaline, Neutral",Poorly Drained,Showy,"Australia, United States, Alaska, California, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Pacific Northwest, Idaho, Oregon, Washington, Rocky Mountains, Montana, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas",,"Ponds and Streams, Water Gardens",,,,,
Brickellia eupatorioides,6 to 9,,Perennials,,Full Sun,"Spring (Late)-Summer (Early,Mid,Late)-FallWinter",1' to 4' (30cm to 120cm),1' to 2' (30cm to 60cm),Low,Low,"Clay, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained",Showy,"United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Delaware, Maryland, New Jersey, Pennsylvania, Rocky Mountains, Colorado, Montana, Utah, Wyoming, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Arizona, New Mexico, Oklahoma, Texas","Drought, Dry Soil","Banks and Slopes, Beds and Borders","Informal and Cottage, Prairie and Meadow",,Butterflies,"18"" to 24"" (45cm to 60cm)",
Calycanthus floridus,4 to 9,"3, 3A, 3B, 4, 5, 6, 7, 8, 9, 14, 15, 16, 17",Shrubs,Calycanthus - Sweetshrubs,"Full Sun, Partial Sun","Spring (Mid,Late)-Summer (Early,Mid,Late)-Fall",6' to 10' (180cm to 3m),6' to 12' (180cm to 3.6m),Average,Low,"Clay, Loam","Acid, Neutral","Moist but Well-Drained, Well-Drained","Dried Arrangements, Cut Flowers, Fragrant, Showy","United States, Midwest, Illinois, Ohio, Northeast, Connecticut, Delaware, Massachusetts, Maryland, Pennsylvania, Southeast, Alabama, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia","Clay Soil, Deer, Wet Soil",Beds and Borders,"Informal and Cottage, Prairie and Meadow",,,"120"" to 144"" (300cm to 360cm)",1 to 9
Camassia scilloides,4 to 8,,"Bulbs, Perennials",Camassia - Camas,"Full Sun, Partial Sun","Spring (Early,Mid,Late)-Summer (Early)-",1' to 3' (30cm to 90cm),1' to 2'  (30cm to 60cm),Average,Low,"Clay, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,"Cut Flowers, Showy","United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Missouri, Ohio, Wisconsin, Northeast, Maryland, Pennsylvania, Southeast, Alabama, Arkansas, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas","Clay Soil, Drought",Beds and Borders,"Informal and Cottage, Prairie and Meadow","4"" to 6"" (10cm to 15cm)",Butterflies,"6"" (15cm)",
