,Active Growth Period,After Harvest Regrowth Rate,Bloat,C:N Ratio,Coppice Potential,Fall Conspicuous,Fire Resistant,Flower Color,Flower Conspicuous,Foliage Color,Foliage Porosity Summer,Foliage Porosity Winter,Foliage Texture,Fruit/Seed Color,Fruit/Seed Conspicuous,Growth Form,Growth Rate,"Height, Mature (feet)",Known Allelopath,Leaf Retention,Low Growing Grass,Nitrogen Fixation,Resprout Ability,Shape and Orientation,Toxicity,Adapted to Coarse Textured Soils,Adapted to Fine Textured Soils,Adapted to Medium Textured Soils,Anaerobic Tolerance,CaCO3 Tolerance,Cold Stratification Required,Drought Tolerance,Fertility Requirement,Fire Tolerance,"Frost Free Days, Minimum",Hedge Tolerance,Moisture Use,"pH, Maximum","pH, Minimum","Planting Density per Acre, Maximum","Planting Density per Acre, Minimum","Precipitation, Maximum","Precipitation, Minimum","Root Depth, Minimum (inches)",Salinity Tolerance,Shade Tolerance,"Temperature, Minimum (°F)",Bloom Period,Commercial Availability,Fruit/Seed Abundance,Fruit/Seed Period Begin,Fruit/Seed Period End,Fruit/Seed Persistence,Propagated by Bare Root,Propagated by Bulb,Propagated by Container,Propagated by Corm,Propagated by Cuttings,Propagated by Seed,Propagated by Sod,Propagated by Sprigs,Propagated by Tubers,Seed per Pound,Seed Spread Rate,Seedling Vigor,Small Grain,Vegetative Spread Rate,Berry/Nut/Seed Product,Christmas Tree Product,Fodder Product,Lumber Product,Naval Store Product,Nursery Stock Product,Palatable Browse Animal,Palatable Graze Animal,Palatable Human,Post Product,Protein Potential,Pulpwood Product,Veneer Product,"Height at 20 Years, Maximum (feet)",Lifespan,Fuelwood Product
ASCA11,"Spring, Summer, Fall",Moderate,None,Medium,No,No,No,White,Yes,Green,Porous,Porous,Fine,Brown,No,Stoloniferous,Moderate,0.5,No,No,No,Low,No,Prostrate,Slight,No,No,Yes,Medium,Low,No,Medium,Medium,High,175,None,Medium,8.0,6.0,,,50,20,10,None,Intolerant,-38,Mid Summer,Routinely Available,Low,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,270500,Slow,Medium,No,Slow,No,No,Yes,No,No,No,Low,Low,No,No,Medium,No,No,,Short,
ATFI,"Spring, Summer, Fall",Slow,None,Medium,No,Yes,No,,No,Green,Dense,Porous,Fine,,No,Rhizomatous,Moderate,3.0,No,No,No,None,No,Semi-Erect,None,No,No,Yes,Low,Low,No,Low,Medium,Low,80,None,Medium,7.0,4.5,2700,1700,60,30,12,None,Tolerant,-38,,Routinely Available,None,,,No,No,No,Yes,No,No,No,No,Yes,No,,None,,No,Moderate,No,No,No,No,No,No,,,No,No,,No,No,,Long,
AXCO,Spring and Summer,Moderate,None,Medium,No,No,Yes,White,No,Green,Moderate,Porous,Fine,Brown,No,Stoloniferous,Moderate,1.0,No,No,Yes,None,No,Decumbent,None,No,Yes,Yes,Low,None,Yes,Low,Medium,Medium,210,None,High,7.0,4.5,18000,7000,100,40,12,Low,Intolerant,-3,Spring,No Known Source,Medium,Summer,Fall,No,No,No,No,No,No,Yes,No,Yes,No,1222000,Slow,Medium,No,Moderate,No,No,No,No,No,Yes,Low,Low,No,No,,No,No,,Short,
BAAN,Spring,,None,,No,Yes,No,White,Yes,Green,Dense,Moderate,Fine,Brown,No,Multiple Stem,Moderate,13.0,No,No,No,None,Yes,Erect,None,Yes,Yes,Yes,High,Medium,No,None,Low,Low,200,Low,High,7.5,5.0,3400,1750,60,45,12,High,Intolerant,12,Fall,No Known Source,High,Fall,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,2268000,Moderate,High,No,None,No,No,No,No,No,Yes,Low,Low,No,No,,No,No,,Long,
BAHA,"Spring, Summer, Fall",,None,High,No,Yes,No,White,Yes,Dark Green,Dense,Moderate,Coarse,White,No,Multiple Stem,Moderate,10.0,No,No,No,None,Yes,Erect,None,Yes,Yes,Yes,High,Low,No,Low,Low,Medium,180,Low,High,7.8,5.5,2700,700,60,36,20,High,Intermediate,-3,Late Summer,Routinely Available,High,Fall,Fall,Yes,Yes,No,Yes,No,No,Yes,No,No,No,85000,Slow,Low,No,None,No,No,No,No,No,No,,,No,No,,No,No,10,Moderate,
BARO,"Spring, Summer, Fall",,None,Low,No,No,Yes,White,Yes,Green,Dense,Porous,Medium,,No,Stoloniferous,Slow,0.1,No,No,No,None,No,Prostrate,None,No,Yes,Yes,High,Low,No,None,Low,None,120,None,High,7.8,5.4,11000,2700,65,24,0,None,Intolerant,-33,Fall,No Known Source,Medium,Fall,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,4000000,Slow,Low,No,Moderate,No,No,No,No,No,No,,Low,No,No,,No,No,,Moderate,
BAMA5,Spring,,None,Low,No,No,No,Green,No,Green,Moderate,Porous,Medium,,No,Stoloniferous,Moderate,0.1,No,No,No,None,No,Prostrate,None,Yes,Yes,Yes,Medium,Medium,No,Medium,Low,,200,None,Medium,7.9,4.0,19000,7000,60,28,6,High,Intolerant,17,Late Spring,Routinely Available,Medium,Spring,Summer,No,Yes,No,Yes,No,No,Yes,No,No,No,,Slow,Low,No,Slow,No,No,No,No,No,No,Low,Low,No,No,,No,No,,Moderate,
BELE,Spring and Summer,,None,High,No,No,No,Yellow,No,Green,Moderate,Porous,Medium,Brown,No,Single Stem,Moderate,60.0,No,No,No,None,Yes,Erect,None,Yes,No,Yes,None,Low,No,Medium,Medium,Low,90,None,Medium,6.8,3.6,700,300,80,29,28,Medium,Intolerant,-26,Late Spring,Field Collections Only,Low,Summer,Fall,Yes,Yes,No,Yes,No,No,Yes,No,No,No,646000,Slow,Medium,No,None,No,No,No,Yes,No,No,Medium,Low,No,No,,Yes,Yes,15,Moderate,Medium
BENI,Spring and Summer,,None,Medium,Yes,No,No,Brown,No,Green,Moderate,Porous,Medium,Brown,No,Multiple Stem,Rapid,70.0,No,No,No,None,Yes,Erect,None,Yes,Yes,Yes,Medium,None,No,Low,Medium,Medium,150,None,High,6.5,3.0,700,300,80,30,20,None,Intolerant,-31,Mid Spring,Routinely Available,High,Spring,Spring,No,Yes,No,Yes,No,Yes,Yes,No,No,No,374400,Rapid,High,No,Slow,No,No,No,No,No,No,Medium,Low,No,No,Low,Yes,Yes,35,Short,Low
BIAR,"Spring, Summer, Fall",Slow,None,Medium,No,No,No,Yellow,Yes,Green,Moderate,Porous,Coarse,Brown,Yes,Single Crown,Rapid,3.5,No,No,No,None,No,Erect,None,No,Yes,Yes,Medium,Medium,No,Low,Medium,Low,140,None,High,7.0,5.0,,,55,22,8,None,Intermediate,52,Late Summer,Routinely Available,High,Summer,Fall,Yes,No,No,No,No,No,Yes,No,No,No,130000,Rapid,High,No,None,No,No,No,No,No,No,Low,Low,No,No,Low,No,No,,,
BICE,"Spring, Summer, Fall",Slow,None,Medium,No,Yes,No,Yellow,Yes,Green,Moderate,Porous,Coarse,Purple,No,Single Crown,Rapid,3.2,No,No,No,None,No,Erect,None,Yes,Yes,Yes,Medium,Medium,No,Low,Medium,Low,85,None,High,7.0,5.1,,,55,32,8,Low,Intermediate,47,Late Summer,Routinely Available,High,Summer,Fall,Yes,No,No,No,No,No,Yes,No,No,No,43324,Rapid,High,No,None,No,No,No,No,No,No,Low,Low,No,No,Low,No,No,,,
BICO5,"Spring, Summer, Fall",Slow,None,Medium,No,Yes,No,Yellow,Yes,Green,Moderate,Porous,Coarse,Purple,No,Single Crown,Rapid,3.2,No,No,No,None,No,Erect,None,Yes,Yes,Yes,Medium,Medium,No,Low,Medium,Low,115,None,High,7.1,5.2,,,55,32,8,None,Intermediate,47,Late Summer,Routinely Available,High,Fall,Fall,Yes,No,No,No,No,No,Yes,No,No,No,130000,Rapid,High,No,None,No,No,No,No,No,No,Low,Low,No,No,Low,No,No,,,
BICO,"Spring, Summer, Fall",Slow,None,Medium,No,Yes,No,Yellow,Yes,Green,Moderate,Porous,Coarse,Brown,No,Single Crown,Rapid,3.4,No,No,No,None,No,Erect,None,Yes,Yes,Yes,Medium,Medium,No,Low,Medium,Low,145,None,High,7.1,5.2,,,55,32,8,None,Intermediate,52,Late Summer,Routinely Available,High,Fall,Fall,Yes,No,No,No,No,No,Yes,No,No,No,130000,Rapid,High,No,None,No,No,No,No,No,No,Low,Low,No,No,Low,No,No,,,
BIDI,"Spring, Summer, Fall",Slow,None,Medium,No,Yes,No,Yellow,Yes,Green,Moderate,Porous,Coarse,Brown,No,Single Crown,Rapid,5.2,No,No,No,None,No,Erect,None,Yes,Yes,Yes,Medium,Medium,No,Low,Medium,Low,130,None,High,7.1,5.1,,,55,32,8,None,Intermediate,52,Late Summer,No Known Source,High,Fall,Fall,Yes,No,No,No,No,No,Yes,No,No,No,13000,Rapid,High,No,None,No,No,No,No,No,No,Low,Low,No,No,Low,No,No,,,
BIFR,"Spring, Summer, Fall",Slow,None,High,No,No,No,Yellow,No,Green,Moderate,Porous,Coarse,Brown,Yes,Single Crown,Rapid,4.0,No,No,No,None,No,Erect,None,Yes,No,Yes,Medium,Medium,No,Low,Medium,None,80,None,Medium,7.2,5.2,,,60,24,8,None,Intermediate,47,Late Summer,Routinely Available,High,Summer,Fall,Yes,No,No,No,No,No,Yes,No,No,No,195300,Moderate,Medium,No,None,No,No,No,No,No,No,Low,Low,No,No,Low,No,No,,,
BILA,"Spring, Summer, Fall",Slow,None,Medium,No,Yes,No,Yellow,Yes,Green,Moderate,Porous,Coarse,Brown,No,Single Crown,Rapid,3.3,No,No,No,None,No,Erect,None,Yes,Yes,Yes,Medium,Medium,No,Low,Medium,Low,145,None,High,7.0,5.0,,,55,24,8,Low,Intermediate,52,Late Summer,Routinely Available,High,Summer,Fall,Yes,No,No,No,No,No,Yes,No,No,No,130000,Rapid,High,No,None,No,No,No,No,No,No,Low,Low,No,No,Low,No,No,,Short,
BIMI,"Spring, Summer, Fall",Slow,None,Medium,No,Yes,No,Yellow,Yes,Green,Moderate,Porous,Coarse,Brown,No,Single Crown,Rapid,3.5,No,No,No,None,No,Erect,None,No,Yes,Yes,Medium,Medium,No,Low,Medium,Low,160,None,High,8.6,5.0,,,55,32,8,Low,Intermediate,52,Fall,No Known Source,High,Fall,Fall,Yes,No,No,No,No,No,Yes,No,No,No,130000,Rapid,High,No,None,No,No,No,No,No,No,Low,Low,No,No,Low,No,No,,,
BITR,"Spring, Summer, Fall",Slow,None,Medium,No,Yes,No,Yellow,Yes,Green,Moderate,Porous,Coarse,Brown,No,Single Crown,Rapid,3.5,No,No,No,None,No,Erect,None,Yes,Yes,Yes,Medium,Medium,No,Low,Medium,Low,100,None,High,7.2,5.0,,,55,32,8,None,Intermediate,47,Late Summer,No Known Source,High,Fall,Fall,Yes,No,No,No,No,No,Yes,No,No,No,130000,Rapid,High,No,None,No,No,No,No,No,No,Low,Low,No,No,Low,No,No,,,
BOCY,Spring,Slow,None,,No,No,No,Yellow,No,Green,Moderate,Porous,Medium,,No,Bunch,Moderate,3.9,No,No,No,None,No,Erect,None,No,Yes,Yes,Medium,Low,No,Low,Medium,Medium,100,None,Medium,7.0,5.1,,,50,35,14,None,Tolerant,-33,Indeterminate,No Known Source,Low,Spring,Fall,No,No,No,No,No,No,Yes,No,No,No,325000,Moderate,Medium,No,None,No,No,No,No,No,No,,Low,No,No,,No,No,,Moderate,
BOFL3,Summer,Slow,Low,,No,No,No,Brown,No,Green,Moderate,Porous,Coarse,Brown,No,Rhizomatous,Moderate,6.6,No,No,No,None,No,Erect,None,No,Yes,Yes,High,High,No,Low,Medium,Medium,110,None,Medium,7.5,4.0,4800,3450,60,18,16,None,Intolerant,-38,Mid Summer,Routinely Available,Medium,Spring,Fall,Yes,No,No,No,No,No,Yes,No,Yes,No,,Slow,Medium,No,Moderate,No,No,No,No,No,No,,Medium,No,No,,No,No,,Long,
BORO5,Summer,Slow,None,Medium,No,No,No,Red,No,Green,Moderate,Porous,Medium,Brown,No,Rhizomatous,Rapid,4.9,No,No,No,None,No,Erect,None,No,Yes,Yes,High,Medium,No,Low,Medium,Medium,120,None,High,8.4,6.4,4800,3450,35,16,16,High,Intolerant,7,Late Summer,Routinely Available,Low,Summer,Fall,Yes,No,No,No,No,No,Yes,No,Yes,No,,Rapid,High,No,Slow,No,No,No,No,No,No,,High,No,No,,No,No,,Long,
BOAS,Summer,Slow,None,Medium,No,No,No,White,Yes,Green,Moderate,Porous,Coarse,Brown,No,Single Crown,Rapid,8.0,No,No,No,None,No,Erect,None,Yes,No,Yes,Medium,Low,Yes,Low,Medium,Medium,80,None,Medium,7.0,5.3,,,55,22,12,Low,Intermediate,-38,Mid Summer,Routinely Available,High,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,2063000,Moderate,High,No,None,No,No,No,No,No,No,Low,Low,No,No,Low,No,No,,Moderate,
BOFR,Spring,,None,Medium,No,No,No,Yellow,No,Green,Moderate,Porous,Coarse,Black,No,Rhizomatous,Rapid,2.6,No,No,No,None,No,Erect,None,Yes,Yes,Yes,Medium,High,No,Low,Low,,200,None,Medium,7.5,6.1,11000,4800,60,28,14,High,Intolerant,17,Indeterminate,Routinely Available,High,Spring,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,,Moderate,High,No,Moderate,No,No,No,No,No,No,Medium,Medium,No,No,,No,No,,Moderate,
BOVI,Spring and Summer,,None,Medium,No,No,No,,No,Green,Porous,Porous,Fine,,No,Rhizomatous,Moderate,1.4,No,No,No,None,No,Erect,None,No,No,Yes,None,Low,No,Low,High,High,85,None,Medium,6.9,5.6,4800,1700,55,14,10,None,Tolerant,-38,Late Spring,No Known Source,,Summer,Summer,No,Yes,No,No,No,No,No,No,Yes,No,,None,,No,Slow,No,No,No,No,No,No,,,No,No,,No,No,,Moderate,
BOCU,Summer,Moderate,None,Medium,No,No,No,Yellow,No,Green,Dense,Porous,Medium,Brown,No,Rhizomatous,Moderate,3.0,No,No,Yes,None,No,Erect,None,Yes,Yes,Yes,None,Medium,No,Medium,Medium,Low,90,None,Medium,8.5,5.5,,,25,6,12,Low,Intolerant,-43,Mid Spring,Routinely Available,Medium,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,159200,Slow,Medium,No,None,No,No,Yes,No,No,No,Medium,High,No,No,Medium,No,No,,Moderate,
BRCI2,Spring and Summer,Slow,None,Medium,No,No,No,Yellow,No,Green,Moderate,Porous,Fine,Brown,No,Bunch,Moderate,4.0,No,No,No,None,No,Erect,None,Yes,Yes,No,Low,Medium,No,Low,Low,Medium,175,None,Medium,7.5,5.5,,,40,12,16,Low,Tolerant,-3,Spring,Routinely Available,Medium,Spring,Summer,No,No,No,No,No,No,Yes,No,No,No,236000,Slow,Medium,No,None,No,No,Yes,No,No,No,Medium,High,No,No,Low,No,No,,Long,
CACO71,Spring,Moderate,None,,No,No,No,Green,No,Green,Moderate,Porous,Medium,Yellow,No,Bunch,Moderate,4.9,No,No,No,None,No,Erect,None,No,Yes,Yes,High,Medium,No,Low,Medium,Low,110,None,Medium,7.0,4.0,7000,3450,65,35,6,None,Intolerant,-28,Fall,Routinely Available,Medium,Summer,Fall,No,No,No,No,No,No,Yes,No,Yes,No,,Moderate,Medium,No,Slow,No,No,No,No,No,No,,High,No,No,,No,No,,Long,
CAAM2,Spring and Summer,,None,High,No,Yes,No,Blue,Yes,Green,Dense,Moderate,Medium,Purple,Yes,Multiple Stem,Moderate,6.0,No,No,No,None,Yes,Erect,None,Yes,Yes,Yes,None,Medium,No,High,Low,High,175,Medium,Low,7.0,4.8,2700,1200,60,35,14,None,Intermediate,-8,Early Summer,Routinely Available,High,Summer,Fall,Yes,Yes,No,Yes,No,No,Yes,No,No,No,85000,Slow,Medium,No,None,No,No,No,No,No,Yes,High,Low,No,No,Low,No,No,6,Moderate,
CAHE2,Summer,,None,Low,No,No,Yes,Green,No,Green,Porous,Porous,Fine,Green,No,Single Crown,Rapid,,No,No,No,None,No,Decumbent,None,Yes,Yes,Yes,High,High,No,None,Medium,High,80,None,High,7.4,5.6,1100,700,,,,Low,Intolerant,-33,Late Summer,No Known Source,Low,Fall,Fall,No,No,No,No,No,Yes,Yes,No,Yes,No,800000,Moderate,Medium,No,Moderate,No,No,No,No,No,No,,,No,No,,No,No,,Short,
CAHE3,"Spring, Summer, Fall",,Low,,No,No,Yes,Green,No,Green,Porous,Porous,Fine,Green,No,Single Crown,Rapid,,No,No,No,None,No,Decumbent,None,No,Yes,Yes,High,Medium,No,None,Medium,High,80,None,High,6.8,5.2,1100,700,,,,None,Intolerant,-33,Spring,No Known Source,Low,Summer,Fall,No,No,No,No,No,No,Yes,No,Yes,No,850000,Moderate,Medium,No,Moderate,No,No,No,No,No,No,,,No,No,,No,No,,Short,
CALY2,Spring and Summer,,None,High,No,No,No,White,Yes,Green,Porous,Porous,Medium,Black,Yes,Single Crown,Rapid,30.0,No,No,No,None,Yes,Climbing,None,No,No,Yes,Low,Medium,Yes,Low,High,Low,185,None,Medium,7.0,5.8,300,170,55,35,12,None,Tolerant,-3,Late Spring,No Known Source,Medium,Spring,Summer,No,Yes,No,Yes,No,No,Yes,No,No,No,,Slow,Low,No,None,No,No,No,No,No,No,,,No,No,,No,No,,Long,
CASC5,Spring and Summer,Slow,None,Medium,No,No,No,Blue,Yes,Green,Porous,Porous,Coarse,Brown,No,Single Crown,Moderate,2.5,No,No,No,None,No,Erect,None,No,Yes,Yes,Low,Medium,Yes,Low,Medium,Medium,100,None,Medium,6.5,4.2,4800,2700,55,30,10,None,Tolerant,-28,Mid Spring,Routinely Available,Low,Spring,Spring,No,No,Yes,No,No,No,Yes,No,No,No,,Slow,Medium,No,Slow,No,No,No,No,No,No,,,Yes,No,,No,No,,Moderate,
CAAP2,Spring and Summer,Moderate,None,Medium,No,No,No,White,Yes,Green,Moderate,Porous,Fine,Brown,Yes,Rhizomatous,Moderate,2.0,No,No,No,None,No,Decumbent,None,Yes,Yes,Yes,High,Medium,No,Low,Medium,High,140,None,High,7.5,6.0,18000,11000,60,20,8,None,Intolerant,-38,Late Spring,No Known Source,Low,Summer,Summer,No,Yes,No,No,No,No,Yes,No,No,No,700000,Slow,Low,No,Slow,No,No,No,No,No,No,Low,Low,No,No,Low,No,No,,Short,
CAAM18,"Spring, Summer, Fall",Slow,None,High,No,No,No,Blue,Yes,Green,Porous,Porous,Medium,Brown,No,Single Crown,Rapid,6.0,No,No,No,None,No,Erect,None,Yes,Yes,Yes,Medium,Medium,No,Low,Medium,None,160,None,Medium,7.5,5.5,11000,4800,60,30,8,None,Tolerant,52,Summer,Contracting Only,Low,Summer,Fall,No,No,No,Yes,No,No,Yes,No,No,No,700000,Slow,Medium,No,None,No,No,No,No,No,No,,,No,No,,No,No,,,
CARA2,Spring and Summer,,None,High,No,Yes,No,Red,Yes,Green,Moderate,Porous,Coarse,Brown,Yes,Single Crown,Rapid,2.0,No,No,No,None,Yes,Climbing,None,Yes,No,Yes,None,Low,Yes,High,Low,High,165,None,Low,6.8,4.9,1700,1200,60,32,14,None,Intolerant,-13,Summer,Routinely Available,High,Summer,Fall,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,136000,Slow,High,No,Moderate,No,No,No,No,No,Yes,,,No,No,,No,No,,Long,
CABU3,Spring,Slow,None,Medium,No,No,No,White,Yes,Green,Porous,Porous,Medium,Black,No,Single Crown,Rapid,1.4,No,No,No,None,No,Erect,None,No,Yes,Yes,Medium,Medium,No,None,Medium,Medium,90,None,Medium,6.8,5.0,4800,2700,55,30,10,None,Tolerant,-33,Mid Spring,No Known Source,High,Spring,Spring,No,No,Yes,No,No,No,Yes,No,No,No,,Moderate,High,No,None,No,No,No,No,No,No,Low,Low,No,No,Low,No,No,,Moderate,
CADO,Spring and Summer,Slow,None,Medium,No,No,No,Purple,Yes,Green,Porous,Porous,Medium,Brown,No,Rhizomatous,Moderate,1.0,No,No,No,None,No,Erect,None,Yes,Yes,Yes,High,High,No,None,High,Medium,130,None,High,7.7,6.0,4800,2700,55,24,10,None,Tolerant,-33,Early Spring,No Known Source,High,Spring,Spring,No,No,No,No,No,No,Yes,No,Yes,No,900000,Moderate,Medium,No,Slow,No,No,No,No,No,No,,,No,No,,No,No,,Moderate,
CAPE3,Spring,Slow,None,Low,No,No,No,White,Yes,Green,Porous,Porous,Fine,Black,No,Single Crown,Rapid,1.5,No,No,No,None,No,Erect,None,Yes,Yes,Yes,Low,Medium,No,None,Medium,None,75,None,Medium,6.8,4.8,,,55,32,7,None,Tolerant,-33,Early Spring,No Known Source,High,Spring,Summer,No,No,No,No,No,No,Yes,No,No,No,275000,Rapid,High,No,None,No,No,No,No,No,No,Low,Low,No,No,Low,No,No,,Short,
CAAB5,Spring and Summer,Slow,None,Medium,No,No,No,Green,No,Green,Porous,Porous,Fine,Brown,No,Bunch,Slow,0.7,No,No,No,None,No,Erect,None,No,Yes,Yes,High,Medium,No,Low,Medium,High,165,None,High,6.8,4.8,4800,2700,55,36,6,None,Tolerant,-3,Late Spring,Routinely Available,Low,Spring,Summer,No,Yes,No,No,No,No,Yes,No,Yes,No,,Slow,Low,No,None,No,No,No,No,No,No,Low,Low,No,No,Low,No,No,,Long,
CAAL5,Spring,Slow,None,,No,No,Yes,Green,No,Green,Porous,Porous,Fine,Yellow,No,Bunch,Moderate,3.9,No,No,No,None,No,Erect,None,No,Yes,Yes,Medium,Medium,No,Low,Medium,Medium,120,None,Medium,7.8,4.3,19000,10912,65,16,16,None,Intermediate,-38,Spring,Routinely Available,Medium,Spring,Fall,No,No,No,No,No,No,Yes,No,Yes,No,,Rapid,Medium,No,None,No,No,No,No,No,No,,Medium,No,No,,No,No,,Long,
CAAM8,Spring and Summer,Slow,None,Medium,No,No,No,Green,No,Green,Moderate,Porous,Medium,Brown,No,Bunch,Moderate,2.0,No,No,No,None,No,Semi-Erect,None,No,Yes,Yes,Medium,Medium,No,Low,High,High,165,None,Medium,7.0,5.9,4800,2700,55,28,8,None,Tolerant,-3,Late Spring,No Known Source,Low,Summer,Summer,No,Yes,No,No,No,No,Yes,No,Yes,No,,Slow,Low,No,None,No,No,No,No,No,No,Low,Low,No,No,Low,No,No,,Long,
CAAT4,Spring and Summer,Slow,None,Medium,No,No,No,Green,No,Green,Dense,Porous,Coarse,Brown,No,Bunch,Moderate,1.8,No,No,No,None,No,Semi-Erect,None,No,Yes,Yes,High,Low,No,None,Medium,High,130,None,High,6.0,4.5,4800,2700,55,40,12,Low,Intermediate,-18,Late Spring,Routinely Available,Low,Summer,Summer,No,Yes,No,No,No,No,Yes,No,Yes,No,,Slow,Low,No,Moderate,No,No,No,No,No,No,Low,Low,No,No,Low,No,No,,Long,
CABL,Spring and Summer,Slow,None,Medium,No,No,No,Green,No,Green,Moderate,Porous,Medium,Brown,No,Bunch,Slow,2.0,No,No,No,None,No,Erect,None,No,Yes,Yes,High,Medium,No,Low,Medium,High,95,None,High,7.0,4.4,4800,2700,60,36,8,None,Tolerant,-28,Spring,Routinely Available,Low,Spring,Summer,No,Yes,No,No,No,No,Yes,No,Yes,No,,Slow,Low,No,None,No,No,No,No,No,No,Low,Low,No,No,Low,No,No,,Moderate,
CABU5,Spring and Summer,Slow,None,Medium,No,No,No,Green,No,Green,Moderate,Porous,Fine,Brown,No,Bunch,Slow,2.0,No,No,No,None,No,Erect,None,No,Yes,Yes,Medium,High,No,Low,Medium,High,145,None,Medium,7.5,5.8,4800,2700,60,36,8,Low,Intermediate,-23,Mid Spring,No Known Source,Low,Spring,Summer,No,Yes,No,No,No,No,Yes,No,Yes,No,,Slow,Low,No,None,No,No,No,No,No,No,Low,Low,No,No,Low,No,No,,Moderate,
CACE,Spring and Summer,Slow,None,Medium,No,No,No,Green,No,Green,Porous,Porous,Medium,Brown,No,Bunch,Moderate,2.6,No,No,No,None,No,Erect,None,Yes,No,Yes,Low,Low,No,Medium,Low,High,90,None,Low,7.0,4.8,4800,2700,55,36,8,None,Intermediate,-33,Late Spring,Routinely Available,Low,Summer,Summer,No,Yes,No,No,No,No,Yes,No,Yes,No,,Slow,Low,No,None,No,No,No,No,No,No,Low,Low,No,No,Low,No,No,,Moderate,
CACO8,"Spring, Summer, Fall",Slow,None,Medium,No,No,No,Green,No,Green,Moderate,Porous,Medium,Brown,No,Rhizomatous,Slow,5.0,No,No,No,None,No,Erect,None,No,Yes,Yes,High,Medium,No,Low,Medium,High,90,None,High,7.5,4.6,4800,2700,55,14,8,Low,Intermediate,-28,Mid Summer,Routinely Available,Low,Summer,Summer,No,Yes,No,No,No,No,Yes,No,Yes,No,,Slow,Low,No,Moderate,No,No,No,No,No,No,Low,Low,No,No,Low,No,No,,Long,
CACR6,Spring,Slow,None,,No,No,Yes,Green,No,Green,Porous,Porous,Fine,Brown,No,Bunch,Moderate,5.2,No,No,No,None,No,Erect,None,No,Yes,Yes,High,Medium,No,Low,Medium,Low,144,None,Medium,7.5,4.0,10912,1900,65,36,18,None,Intermediate,-33,Late Spring,Routinely Available,Medium,Summer,Fall,No,No,No,No,No,No,Yes,No,Yes,No,719988,Slow,Medium,No,None,No,No,No,No,No,No,,Medium,No,No,,No,No,,Long,
CACR8,Spring,Slow,None,,No,No,No,Green,No,Green,Moderate,Porous,Medium,Brown,No,Bunch,Moderate,3.0,No,No,No,None,No,Erect,None,No,Yes,Yes,Low,Low,No,Medium,Medium,Low,125,None,Medium,7.0,3.5,4800,3400,60,35,16,None,Intermediate,-28,Spring,Routinely Available,Low,Spring,Summer,Yes,No,No,No,No,No,Yes,No,Yes,No,,Slow,Medium,No,Slow,No,No,No,No,No,No,,Medium,No,No,,No,No,,Moderate,
CADE5,Spring and Summer,Slow,None,Medium,No,No,No,Green,No,Green,Moderate,Porous,Medium,Brown,No,Bunch,Moderate,3.0,No,No,No,None,No,Semi-Erect,None,Yes,No,Yes,High,Low,No,None,Low,High,180,None,High,6.6,4.6,4800,2700,55,36,8,None,Tolerant,-13,Late Spring,Routinely Available,Low,Summer,Summer,No,Yes,No,No,No,No,Yes,No,Yes,No,,Slow,Low,No,None,No,No,No,No,No,No,Low,Low,No,No,Low,No,No,,Long,
CADE6,Spring and Summer,Slow,None,Medium,No,No,No,Green,No,Green,Dense,Porous,Coarse,Brown,No,Bunch,Rapid,4.5,No,No,No,None,No,Semi-Erect,None,Yes,No,Yes,High,None,No,None,Medium,High,140,None,High,6.6,4.5,2700,1700,55,36,12,None,Tolerant,-13,Late Spring,No Known Source,Low,Summer,Summer,No,Yes,No,No,No,No,Yes,No,Yes,No,,Slow,Low,No,None,No,No,No,No,No,No,Low,Low,No,No,Low,No,No,,Long,
CAFL3,Spring and Summer,Slow,None,Medium,No,No,No,Green,No,Gray-Green,Moderate,Porous,Medium,Brown,No,Bunch,Slow,1.0,No,No,No,None,No,Erect,None,No,Yes,Yes,High,High,No,Low,Medium,High,175,None,High,7.1,4.6,4800,2700,55,36,8,None,Tolerant,-8,Late Spring,Routinely Available,Low,Spring,Summer,No,Yes,No,No,No,No,Yes,No,Yes,No,,Slow,Low,No,Slow,No,No,No,No,No,No,Low,Low,No,No,Low,No,No,,Long,
CAFR3,"Spring, Summer, Fall",Slow,None,Medium,No,No,No,Green,No,Green,Moderate,Porous,Medium,Brown,No,Rhizomatous,Slow,2.0,No,No,No,None,No,Erect,None,No,Yes,Yes,High,Medium,No,Low,Medium,High,140,None,High,7.2,5.9,4800,2700,55,18,9,None,Tolerant,-23,Late Spring,Routinely Available,Low,Summer,Summer,No,Yes,No,No,No,No,Yes,No,Yes,No,,Slow,Low,No,Moderate,No,No,No,No,No,No,Low,Low,No,No,Low,No,No,,Long,
